theta_deg,rate_Hz_per_0.02deg_bin
1.000000000000000021e-02,2.858799853737083768e-08
2.999999999999999889e-02,7.773923927909072436e-08
5.000000000000000278e-02,1.078316881740755563e-07
7.000000000000000666e-02,1.584871420947255413e-07
8.999999999999999667e-02,1.865729435937567197e-07
1.100000000000000006e-01,2.091414626005401804e-07
1.300000000000000044e-01,2.397342705041340731e-07
1.500000000000000222e-01,2.798556722379572730e-07
1.699999999999999845e-01,2.954014561336575630e-07
1.900000000000000022e-01,3.199743328338740955e-07
2.100000000000000200e-01,3.721303932020090800e-07
2.299999999999999822e-01,4.197716954710284182e-07
2.500000000000000000e-01,4.197679239639284065e-07
2.700000000000000178e-01,4.744285672075685310e-07
2.900000000000000355e-01,5.015047221840083395e-07
3.099999999999999978e-01,5.446281759823736428e-07
3.300000000000000155e-01,5.516426783763838101e-07
3.499999999999999778e-01,5.992770562001814319e-07
3.699999999999999956e-01,6.238415234176560897e-07
3.900000000000000133e-01,6.699683327580824647e-07
4.100000000000000311e-01,6.910199049754681549e-07
4.299999999999999933e-01,6.950209873014192347e-07
4.500000000000000111e-01,7.110560197600662489e-07
4.699999999999999734e-01,7.536661822676483481e-07
4.899999999999999911e-01,7.757159871799991749e-07
5.100000000000000089e-01,8.213312452535849617e-07
5.300000000000000266e-01,7.786952174461416422e-07
5.500000000000000444e-01,8.523857702071117645e-07
5.700000000000000622e-01,7.891924058906769323e-07
5.899999999999999689e-01,9.075020910945359260e-07
6.099999999999999867e-01,9.180107616800253740e-07
6.300000000000000044e-01,9.636132570850004909e-07
6.500000000000000222e-01,9.545660675105615804e-07
6.700000000000000400e-01,9.665749324551168404e-07
6.900000000000000577e-01,1.031722616883618514e-06
7.099999999999999645e-01,1.042724859591360558e-06
7.299999999999999822e-01,1.072774749107351591e-06
7.500000000000000000e-01,1.085778629583167919e-06
7.700000000000000178e-01,1.075221610621848741e-06
7.900000000000000355e-01,1.168925073661223505e-06
8.100000000000000533e-01,1.166885528620624448e-06
8.300000000000000711e-01,1.166349077841912420e-06
8.499999999999999778e-01,1.140249798368518536e-06
8.699999999999999956e-01,1.221406519109479963e-06
8.900000000000000133e-01,1.221366546504077196e-06
9.100000000000000311e-01,1.249390768346237025e-06
9.300000000000000488e-01,1.233812893343675169e-06
9.499999999999999556e-01,1.259327707229781385e-06
9.699999999999999734e-01,1.317410975006178661e-06
9.899999999999999911e-01,1.359454955158383979e-06
1.010000000000000009e+00,1.283743068973337674e-06
1.030000000000000027e+00,1.322776310908086975e-06
1.050000000000000044e+00,1.377338643822153285e-06
1.070000000000000062e+00,1.409348901506946295e-06
1.090000000000000080e+00,1.418811658937280301e-06
1.110000000000000098e+00,1.441798707119935817e-06
1.130000000000000115e+00,1.416691223744262603e-06
1.149999999999999911e+00,1.485258793858587869e-06
1.169999999999999929e+00,1.520258591726764334e-06
1.189999999999999947e+00,1.601335864953367236e-06
1.209999999999999964e+00,1.611783191569240107e-06
1.229999999999999982e+00,1.587669571398508998e-06
1.250000000000000000e+00,1.642185908127212539e-06
1.270000000000000018e+00,1.600043236951665298e-06
1.290000000000000036e+00,1.660058828265431684e-06
1.310000000000000053e+00,1.621922462620037691e-06
1.330000000000000071e+00,1.654891795225807990e-06
1.350000000000000089e+00,1.666826543047188533e-06
1.370000000000000107e+00,1.642208820014530791e-06
