theta_deg,rate_Hz_per_0.02deg_bin
1.000000000000000021e-02,3.356784051275145600e-08
2.999999999999999889e-02,9.128090481848424879e-08
5.000000000000000278e-02,1.266152597247743945e-07
7.000000000000000666e-02,1.860945582534021198e-07
8.999999999999999667e-02,2.190727172476443475e-07
1.100000000000000006e-01,2.455725173330389748e-07
1.300000000000000044e-01,2.814943813952185040e-07
1.500000000000000222e-01,3.286046528918182311e-07
1.699999999999999845e-01,3.468583950118089346e-07
1.900000000000000022e-01,3.757116850085308312e-07
2.100000000000000200e-01,4.369529557717355604e-07
2.299999999999999822e-01,4.928930207128204294e-07
2.500000000000000000e-01,4.928885644417705570e-07
2.700000000000000178e-01,5.570706759297949068e-07
2.900000000000000355e-01,5.888632673073984600e-07
3.099999999999999978e-01,6.394984740606213529e-07
3.300000000000000155e-01,6.477348034529674879e-07
3.499999999999999778e-01,7.036666857342895724e-07
3.699999999999999956e-01,7.325100394463380511e-07
3.900000000000000133e-01,7.866717228945301500e-07
4.100000000000000311e-01,8.113902426916941384e-07
4.299999999999999933e-01,8.160882021666099910e-07
4.500000000000000111e-01,8.349163254319627398e-07
4.699999999999999734e-01,8.849487438483532462e-07
4.899999999999999911e-01,9.108393439567603690e-07
5.100000000000000089e-01,9.644002922157134906e-07
5.300000000000000266e-01,9.143373125522851855e-07
5.500000000000000444e-01,1.000864006924152018e-06
5.700000000000000622e-01,9.266627825966899717e-07
5.899999999999999689e-01,1.065580829299928894e-06
6.099999999999999867e-01,1.077919864245092943e-06
6.300000000000000044e-01,1.131465733637853488e-06
6.500000000000000222e-01,1.120842439152600215e-06
6.700000000000000400e-01,1.134942958679881908e-06
6.900000000000000577e-01,1.211438547538017035e-06
7.099999999999999645e-01,1.224357071324949687e-06
7.299999999999999822e-01,1.259641137093881549e-06
7.500000000000000000e-01,1.274909938866629808e-06
7.700000000000000178e-01,1.262513771900078030e-06
7.900000000000000355e-01,1.372539129399273488e-06
8.100000000000000533e-01,1.370144060216937813e-06
8.300000000000000711e-01,1.369513901797499627e-06
8.499999999999999778e-01,1.338868158642731472e-06
8.699999999999999956e-01,1.434161154071714550e-06
8.900000000000000133e-01,1.434113922186484317e-06
9.100000000000000311e-01,1.467019316496338090e-06
9.300000000000000488e-01,1.448727653569524452e-06
9.499999999999999556e-01,1.478686502035696170e-06
9.699999999999999734e-01,1.546886783948324516e-06
9.899999999999999911e-01,1.596253909511797273e-06
1.010000000000000009e+00,1.507353666560671455e-06
1.030000000000000027e+00,1.553185596574643522e-06
1.050000000000000044e+00,1.617251535880430201e-06
1.070000000000000062e+00,1.654837115116962416e-06
1.090000000000000080e+00,1.665947725407725256e-06
1.110000000000000098e+00,1.692938340820163875e-06
1.130000000000000115e+00,1.663457073992692191e-06
1.149999999999999911e+00,1.743967594463264685e-06
1.169999999999999929e+00,1.785063321971770302e-06
1.189999999999999947e+00,1.880262438055456656e-06
1.209999999999999964e+00,1.892528984853849432e-06
1.229999999999999982e+00,1.864214639192228550e-06
1.250000000000000000e+00,1.928226233850752476e-06
1.270000000000000018e+00,1.878742483489346558e-06
1.290000000000000036e+00,1.949211143630005516e-06
1.310000000000000053e+00,1.904431529010583731e-06
1.330000000000000071e+00,1.943142910389448904e-06
1.350000000000000089e+00,1.957155851242674643e-06
1.370000000000000107e+00,1.928249575458005503e-06
1.390000000000000124e+00,2.001631483780099124e-06
1.410000000000000142e+00,1.915117449796135343e-06
1.429999999999999938e+00,1.935588823460131539e-06
1.449999999999999956e+00,1.939011350245521258e-06
1.469999999999999973e+00,1.983573564266385275e-06
1.489999999999999991e+00,1.943502016159889552e-06
1.510000000000000009e+00,1.960434674151981534e-06
1.530000000000000027e+00,2.074910006966047758e-06
1.550000000000000044e+00,1.993115505820909018e-06
1.570000000000000062e+00,2.093473731630941766e-06
1.590000000000000080e+00,2.059861306587924718e-06
1.610000000000000098e+00,2.051513413248662216e-06
1.630000000000000115e+00,2.024366942008122820e-06
1.650000000000000133e+00,2.047739318383994769e-06
1.669999999999999929e+00,2.059360483323825398e-06
1.689999999999999947e+00,1.996973636178144345e-06
1.709999999999999964e+00,1.975703364621936393e-06
1.729999999999999982e+00,2.054858409358180393e-06
1.750000000000000000e+00,2.072341541718654376e-06
1.770000000000000018e+00,2.024643326801055891e-06
1.790000000000000036e+00,2.055040504674869040e-06
1.810000000000000053e+00,2.101284862767166252e-06
1.830000000000000071e+00,2.116994895051772376e-06
1.850000000000000089e+00,2.020575758869288443e-06
1.870000000000000107e+00,2.021608237276186493e-06
1.890000000000000124e+00,2.045532224280598028e-06
1.910000000000000142e+00,2.025432337587156045e-06
1.929999999999999938e+00,2.050523311965495654e-06
1.949999999999999956e+00,2.032184588457763071e-06
1.969999999999999973e+00,2.114185466541139305e-06
1.989999999999999991e+00,2.055355231081576222e-06
2.009999999999999787e+00,2.075148517096507510e-06
2.030000000000000249e+00,2.046246101597926739e-06
2.049999999999999822e+00,2.073075636059340829e-06
2.070000000000000284e+00,2.041828255134127439e-06
2.089999999999999858e+00,2.032285487124315197e-06
2.110000000000000320e+00,2.071420976138517888e-06
2.129999999999999893e+00,2.070085580609640619e-06
2.150000000000000355e+00,2.038254123071222505e-06
2.169999999999999929e+00,2.023431651345418886e-06
2.190000000000000391e+00,1.999817525892027594e-06
2.209999999999999964e+00,1.976203015164648652e-06
2.230000000000000426e+00,2.020003778206172136e-06
2.250000000000000000e+00,1.972943253362141186e-06
2.270000000000000462e+00,2.040764040380246651e-06
2.290000000000000036e+00,1.946238418392728435e-06
2.310000000000000053e+00,2.064440194753989757e-06
2.330000000000000071e+00,1.996880010159217638e-06
2.349999999999999645e+00,2.060566492952054248e-06
2.370000000000000107e+00,2.013518533404724696e-06
