theta_deg,rate_Hz
1.000000000000000021e-02,2.405102398876729009e-08
2.999999999999999889e-02,6.540186167866998606e-08
5.000000000000000278e-02,9.071857854544645385e-08
7.000000000000000666e-02,1.333349119333038259e-07
8.999999999999999667e-02,1.569634456903104647e-07
1.100000000000000006e-01,1.759503038744221526e-07
1.300000000000000044e-01,2.016879845518754700e-07
1.500000000000000222e-01,2.354420585083820779e-07
1.699999999999999845e-01,2.485207160286888020e-07
1.900000000000000022e-01,2.691938555316613506e-07
2.100000000000000200e-01,3.130726882276937259e-07
2.299999999999999822e-01,3.531532733536007564e-07
2.500000000000000000e-01,3.531501394693976382e-07
2.700000000000000178e-01,3.991361064005589381e-07
2.900000000000000355e-01,4.219152931162777520e-07
3.099999999999999978e-01,4.581950640329991347e-07
3.300000000000000155e-01,4.640964253818428582e-07
3.499999999999999778e-01,5.041712581323462558e-07
3.699999999999999956e-01,5.248374098262722801e-07
3.900000000000000133e-01,5.636439589867040160e-07
4.100000000000000311e-01,5.813547413667619776e-07
4.299999999999999933e-01,5.847209633991731802e-07
4.500000000000000111e-01,5.982113531143228117e-07
4.699999999999999734e-01,6.340594127452985057e-07
4.899999999999999911e-01,6.526100596262746355e-07
5.100000000000000089e-01,6.909863472883303915e-07
5.300000000000000266e-01,6.551167949322593076e-07
5.500000000000000444e-01,7.171128836493969959e-07
5.700000000000000622e-01,6.639484231913859395e-07
5.899999999999999689e-01,7.634826932851419747e-07
6.099999999999999867e-01,7.723238652373105352e-07
6.300000000000000044e-01,8.106895465052463745e-07
6.500000000000000222e-01,8.030783668323738416e-07
6.700000000000000400e-01,8.131816967289046648e-07
6.900000000000000577e-01,8.679908645008318309e-07
7.099999999999999645e-01,8.772473624723143692e-07
7.299999999999999822e-01,9.025287188488867094e-07
7.500000000000000000e-01,9.134692354812164812e-07
7.700000000000000178e-01,9.045878967320794789e-07
7.900000000000000355e-01,9.834213186509780833e-07
8.100000000000000533e-01,9.817058034590328195e-07
8.300000000000000711e-01,9.812548561749851101e-07
8.499999999999999778e-01,9.592977836404165961e-07
8.699999999999999956e-01,1.027575740926588610e-06
8.900000000000000133e-01,1.027542528768494372e-06
9.100000000000000311e-01,1.051119900123755497e-06
9.300000000000000488e-01,1.038014581447942690e-06
9.499999999999999556e-01,1.059480814850293862e-06
9.699999999999999734e-01,1.108347146849213811e-06
9.899999999999999911e-01,1.143719560872660318e-06
1.010000000000000009e+00,1.080023086236410208e-06
1.030000000000000027e+00,1.112862581541152905e-06
1.050000000000000044e+00,1.158766876449873111e-06
1.070000000000000062e+00,1.185697961904089138e-06
1.090000000000000080e+00,1.193659659792170190e-06
1.110000000000000098e+00,1.212999496122580008e-06
1.130000000000000115e+00,1.191876938014760779e-06
1.149999999999999911e+00,1.249564198977807855e-06
1.169999999999999929e+00,1.279010589712177820e-06
1.189999999999999947e+00,1.347222541512743687e-06
1.209999999999999964e+00,1.356012749815931377e-06
1.229999999999999982e+00,1.335726420336087739e-06
1.250000000000000000e+00,1.381592491745599490e-06
1.270000000000000018e+00,1.346138093451580925e-06
1.290000000000000036e+00,1.396630849672486445e-06
1.310000000000000053e+00,1.364547006950127728e-06
1.330000000000000071e+00,1.392285434766855868e-06
1.350000000000000089e+00,1.402327185009511271e-06
1.370000000000000107e+00,1.381616777209064475e-06
1.390000000000000124e+00,1.434197280398614603e-06
1.410000000000000142e+00,1.372210088547049802e-06
1.429999999999999938e+00,1.386879503002032971e-06
1.449999999999999956e+00,1.389333189740442733e-06
1.469999999999999973e+00,1.421264186213418157e-06
1.489999999999999991e+00,1.392553675745946979e-06
1.510000000000000009e+00,1.404687692798623432e-06
1.530000000000000027e+00,1.486712959012444386e-06
1.550000000000000044e+00,1.428107155977234350e-06
1.570000000000000062e+00,1.500017463120165563e-06
1.590000000000000080e+00,1.475935085497336909e-06
1.610000000000000098e+00,1.469955277556164145e-06
1.630000000000000115e+00,1.450505859686639738e-06
1.650000000000000133e+00,1.467254385090972541e-06
1.669999999999999929e+00,1.475582934582354670e-06
1.689999999999999947e+00,1.430882883182555917e-06
1.709999999999999964e+00,1.415643863483280604e-06
1.729999999999999982e+00,1.472362316183757625e-06
1.750000000000000000e+00,1.484891258627177302e-06
1.770000000000000018e+00,1.450715918360030374e-06
1.790000000000000036e+00,1.472498207167837717e-06
1.810000000000000053e+00,1.505635565362186822e-06
1.830000000000000071e+00,1.516894211957766519e-06
1.850000000000000089e+00,1.447808687923512181e-06
1.870000000000000107e+00,1.448550369073114030e-06
1.890000000000000124e+00,1.465694630498019378e-06
1.910000000000000142e+00,1.451294286675374736e-06
1.929999999999999938e+00,1.469274826860862888e-06
1.949999999999999956e+00,1.456136429484674189e-06
1.969999999999999973e+00,1.514895200430534192e-06
1.989999999999999991e+00,1.472743105236987409e-06
2.009999999999999787e+00,1.486927846988767509e-06
2.030000000000000249e+00,1.466220160357435947e-06
2.049999999999999822e+00,1.485446744920682831e-06
2.070000000000000284e+00,1.463058768775581434e-06
2.089999999999999858e+00,1.456223070365721475e-06
2.110000000000000320e+00,1.484267562705730262e-06
2.129999999999999893e+00,1.483312881586700211e-06
2.150000000000000355e+00,1.460506334780841699e-06
2.169999999999999929e+00,1.449887508299401882e-06
2.190000000000000391e+00,1.432969011509375133e-06
2.209999999999999964e+00,1.416050207025590759e-06
2.230000000000000426e+00,1.447437925402241692e-06
2.250000000000000000e+00,1.413718814337908093e-06
2.270000000000000462e+00,1.462318319285448010e-06
2.290000000000000036e+00,1.394587790478257804e-06
2.310000000000000053e+00,1.479288290826626280e-06
2.330000000000000071e+00,1.430879906202578824e-06
2.349999999999999645e+00,1.476517358277919809e-06
2.370000000000000107e+00,1.442807094445818514e-06
2.389999999999999680e+00,1.485496793105693745e-06
2.410000000000000142e+00,1.470256799137345353e-06
2.429999999999999716e+00,1.483556076142990158e-06
2.450000000000000178e+00,1.434326112462202835e-06
2.469999999999999751e+00,1.461890790385538246e-06
2.490000000000000213e+00,1.379523094176970813e-06
2.509999999999999787e+00,1.435195016359522248e-06
2.530000000000000249e+00,1.363748515519687832e-06
2.549999999999999822e+00,1.352297158538210472e-06
2.570000000000000284e+00,1.438568843773770350e-06
2.589999999999999858e+00,1.381817989498380613e-06
2.610000000000000320e+00,1.400137219551077054e-06
2.629999999999999893e+00,1.398744452890421939e-06
2.650000000000000355e+00,1.369681039842230406e-06
2.669999999999999929e+00,1.332239802469866851e-06
