ray,material,entry_mm,length_mm,path
0,Scintillator,914.602425789,36.5540808758,World/hcal_top/hcal_top_layer2_strip8
0,Scintillator,951.156506665,35.2750488094,World/hcal_top/hcal_top_layer2_strip9
0,Aluminum3003,912.806697547,1.79572824213,World/hcal_top/hcal_top_cover_2_placement
1,Scintillator,834.678745242,43.4748934058,World/hcal_top/hcal_top_layer1_strip4
1,Scintillator,808.261712442,26.4170327997,World/hcal_top/hcal_top_layer1_strip5
1,Aluminum3003,806.514414287,1.74729815514,World/hcal_top/hcal_top_cover_1_placement
2,Scintillator,628.842332409,51.143100876,World/hcal_top/hcal_top_layer1_strip2
2,Scintillator,679.985433285,3.2340905894,World/hcal_top/hcal_top_layer1_strip3
2,Aluminum3003,627.482902623,1.35942978664,World/hcal_top/hcal_top_cover_1_placement
3,Scintillator,558.589334083,48.3022811992,World/hcal_top/hcal_top_layer1_strip9
3,Aluminum3003,557.381777053,1.20755702998,World/hcal_top/hcal_top_cover_1_placement
4,Scintillator,416.40844455,32.7030142522,World/hcal_top/hcal_top_layer2_strip5
4,Aluminum3003,415.590869194,0.817575356304,World/hcal_top/hcal_top_cover_2_placement
5,Scintillator,547.546233977,47.347363348,World/hcal_top/hcal_top_layer1_strip8
5,Aluminum3003,546.362549894,1.1836840837,World/hcal_top/hcal_top_cover_1_placement
6,Scintillator,622.857851152,53.8597019989,World/hcal_top/hcal_top_layer1_strip10
6,Aluminum3003,621.511358602,1.34649254997,World/hcal_top/hcal_top_cover_1_placement
7,Scintillator,867.798717563,59.5216641961,World/hcal_top/hcal_top_layer2_strip7
7,Scintillator,859.795558986,8.00315857693,World/hcal_top/hcal_top_layer2_strip8
7,Aluminum3003,858.107438417,1.68812056933,World/hcal_top/hcal_top_cover_2_placement
8,Scintillator,728.706303793,27.7978830828,World/hcal_top/hcal_top_layer2_strip4
8,Scintillator,701.417711748,27.2885920456,World/hcal_top/hcal_top_layer2_strip5
8,Aluminum3003,700.040549869,1.37716187821,World/hcal_top/hcal_top_cover_2_placement
9,Scintillator,460.783985984,27.7341958472,World/hcal_top/hcal_top_layer2_strip5
9,Scintillator,488.518181831,8.45389173365,World/hcal_top/hcal_top_layer2_strip6
9,Aluminum3003,459.879283794,0.904702189522,World/hcal_top/hcal_top_cover_2_placement
10,Scintillator,1874.9895872,9.78110421376,World/hcal_above_ecal/hcal_above_ecal_layer2_strip3
10,Scintillator,1854.34795822,20.641628979,World/hcal_above_ecal/hcal_above_ecal_layer2_strip4
10,Scintillator,1956.19335593,5.85107779443,World/hcal_above_ecal/hcal_above_ecal_layer4_strip2
10,Scintillator,1931.62170054,24.5716553983,World/hcal_above_ecal/hcal_above_ecal_layer4_strip3
10,Aluminum3003,1853.5873899,0.760568329818,World/hcal_above_ecal/hcal_above_ecal_cover_2_placement
10,Aluminum3003,1930.86113221,0.760568329818,World/hcal_above_ecal/hcal_above_ecal_cover_4_placement
11,Scintillator,815.130994083,70.4859260426,World/hcal_top/hcal_top_layer1_strip10
11,Aluminum3003,813.368845932,1.76214815107,World/hcal_top/hcal_top_cover_1_placement
12,Scintillator,862.043611443,38.9627936513,World/hcal_top/hcal_top_layer1_strip1
12,Scintillator,829.295635584,32.7479758588,World/hcal_top/hcal_top_layer1_strip2
12,Scintillator,939.227280548,45.5788311524,World/hcal_top/hcal_top_layer2_strip9
12,Scintillator,913.09534219,26.1319383577,World/hcal_top/hcal_top_layer2_strip10
12,Aluminum3003,827.502866347,1.79276923775,World/hcal_top/hcal_top_cover_1_placement
12,Aluminum3003,911.302572952,1.79276923775,World/hcal_top/hcal_top_cover_2_placement
13,Scintillator,281.384545993,9.91097148771,World/hcal_top/hcal_top_layer1_strip5
13,Scintillator,291.29551748,14.4208849161,World/hcal_top/hcal_top_layer1_strip6
13,Aluminum3003,280.776249582,0.608296410097,World/hcal_top/hcal_top_cover_1_placement
13,Scintillator,2066.3777119,24.3318564039,World/hcal_below_ecal/hcal_below_ecal_layer1_strip5
13,Scintillator,2123.61697839,24.3318564039,World/hcal_below_ecal/hcal_below_ecal_layer3_strip5
13,Aluminum3003,2065.76941549,0.608296410097,World/hcal_below_ecal/hcal_below_ecal_cover_1_placement
13,Aluminum3003,2123.00868198,0.608296410097,World/hcal_below_ecal/hcal_below_ecal_cover_3_placement
14,Scintillator,326.108926795,1.94167892483,World/hcal_top/hcal_top_layer1_strip8
14,Scintillator,328.05060572,26.2575796763,World/hcal_top/hcal_top_layer1_strip9
14,Aluminum3003,325.40394533,0.704981465028,World/hcal_top/hcal_top_cover_1_placement
15,Scintillator,942.964109529,26.7227422672,World/hcal_top/hcal_top_layer1_strip7
15,Scintillator,892.509830709,50.4542788211,World/hcal_top/hcal_top_layer1_strip8
15,Scintillator,1018.33820501,41.5361007448,World/hcal_top/hcal_top_layer2_strip8
15,Scintillator,982.697284672,35.640920343,World/hcal_top/hcal_top_layer2_strip9
15,Aluminum3003,890.580405181,1.92942552719,World/hcal_top/hcal_top_cover_1_placement
15,Aluminum3003,980.767859144,1.92942552719,World/hcal_top/hcal_top_cover_2_placement
16,Scintillator,360.605024867,31.1822017539,World/hcal_top/hcal_top_layer1_strip11
16,Scintillator,397.043894176,31.1822017539,World/hcal_top/hcal_top_layer2_strip11
16,Aluminum3003,359.825469823,0.779555043847,World/hcal_top/hcal_top_cover_1_placement
16,Aluminum3003,396.264339133,0.779555043847,World/hcal_top/hcal_top_cover_2_placement
17,Scintillator,526.375029882,3.75515437303,World/hcal_top/hcal_top_layer1_strip6
17,Scintillator,530.130184255,41.7614947254,World/hcal_top/hcal_top_layer1_strip7
17,Aluminum3003,525.237113655,1.13791622746,World/hcal_top/hcal_top_cover_1_placement
18,Scintillator,903.945082062,7.97450335777,World/hcal_top/hcal_top_layer2_strip4
