concrete_cm,rate_per_hour
0.000000000000000000e+00,1.407377581635718800e+00
3.810000000000000053e+00,1.396815163895361200e+00
7.620000000000000107e+00,1.386650640391552836e+00
1.142999999999999972e+01,1.376777271454349139e+00
1.524000000000000021e+01,1.367154402667975166e+00
1.905000000000000071e+01,1.357731389513751497e+00
2.285999999999999943e+01,1.348466429899562558e+00
2.667000000000000171e+01,1.339349815066864791e+00
3.048000000000000043e+01,1.330377460535011824e+00
3.428999999999999915e+01,1.321528905962824796e+00
3.810000000000000142e+01,1.312783412492799950e+00
4.191000000000000369e+01,1.304118334987366623e+00
4.571999999999999886e+01,1.295542972503057610e+00
4.953000000000000114e+01,1.287066466166529644e+00
5.334000000000000341e+01,1.278671755250039510e+00
5.714999999999999858e+01,1.270353568915189024e+00
6.096000000000000085e+01,1.262116105259616372e+00
6.476999999999999602e+01,1.253955187926640846e+00
6.857999999999999829e+01,1.245861588140921405e+00
7.239000000000000057e+01,1.237835478366040132e+00
7.620000000000000284e+01,1.229873163670514691e+00
8.001000000000000512e+01,1.221964742599679576e+00
8.382000000000000739e+01,1.214121357742815155e+00
8.762999999999999545e+01,1.206353961192677016e+00
9.143999999999999773e+01,1.198658121750358463e+00
9.525000000000000000e+01,1.191026726646092992e+00
9.906000000000000227e+01,1.183455525907111561e+00
1.028700000000000045e+02,1.175937088477809755e+00
1.066800000000000068e+02,1.168473913456190338e+00
1.104899999999999949e+02,1.161075510300013436e+00
1.142999999999999972e+02,1.153749167822138322e+00
1.181099999999999994e+02,1.146488822509283967e+00
1.219200000000000017e+02,1.139281605824215005e+00
1.257300000000000040e+02,1.132118329467838302e+00
1.295399999999999920e+02,1.125007076980765408e+00
1.333499999999999943e+02,1.117951083965477377e+00
1.371599999999999966e+02,1.110951634562277857e+00
1.409699999999999989e+02,1.104009861728043607e+00
1.447800000000000011e+02,1.097126759597748302e+00
1.485900000000000034e+02,1.090303176481475234e+00
1.524000000000000057e+02,1.083537572104561031e+00
