theta_deg,rate_Hz
1.000000000000000021e-02,2.405102398876728678e-08
2.999999999999999889e-02,6.582380923349303904e-08
5.000000000000000278e-02,9.114052510316143250e-08
7.000000000000000666e-02,1.350226960453012674e-07
8.999999999999999667e-02,1.586512243203178978e-07
1.100000000000000006e-01,1.767941899725193816e-07
1.300000000000000044e-01,2.037976905521294766e-07
1.500000000000000222e-01,2.388175712172911027e-07
1.699999999999999845e-01,2.502084646240502023e-07
1.900000000000000022e-01,2.751009345782718498e-07
2.100000000000000200e-01,3.181358571027627996e-07
2.299999999999999822e-01,3.573725487499580033e-07
2.500000000000000000e-01,3.569474524988754052e-07
2.700000000000000178e-01,4.046210602862785675e-07
2.900000000000000355e-01,4.278221113524273376e-07
3.099999999999999978e-01,4.670551908248631536e-07
3.300000000000000155e-01,4.708469130381808931e-07
3.499999999999999778e-01,5.121873621701405918e-07
3.699999999999999956e-01,5.374942570200274202e-07
3.900000000000000133e-01,5.830508571618446052e-07
4.100000000000000311e-01,5.910580499390731521e-07
4.299999999999999933e-01,5.986429166724983232e-07
4.500000000000000111e-01,6.159298998682575163e-07
4.699999999999999734e-01,6.505120456404707544e-07
4.899999999999999911e-01,6.699061199986831833e-07
5.100000000000000089e-01,7.027980874816989706e-07
5.300000000000000266e-01,6.808489883353781893e-07
5.500000000000000444e-01,7.356734311982034608e-07
5.700000000000000622e-01,6.850395234048645057e-07
5.899999999999999689e-01,7.871042518338614946e-07
6.099999999999999867e-01,7.972102697036375214e-07
6.300000000000000044e-01,8.431677384050531663e-07
6.500000000000000222e-01,8.304943792960667846e-07
6.700000000000000400e-01,8.435495005086687413e-07
6.900000000000000577e-01,9.072149622040326963e-07
7.099999999999999645e-01,9.059266062243420063e-07
7.299999999999999822e-01,9.463899292030966367e-07
7.500000000000000000e-01,9.623900562916230892e-07
7.700000000000000178e-01,9.535072959554863586e-07
7.900000000000000355e-01,1.035712996634114504e-06
8.100000000000000533e-01,1.035682817229962584e-06
8.300000000000000711e-01,1.031435048411030427e-06
8.499999999999999778e-01,1.010741462549126556e-06
8.699999999999999956e-01,1.084499269290734052e-06
8.900000000000000133e-01,1.091632244586908629e-06
9.100000000000000311e-01,1.116472379135103547e-06
9.300000000000000488e-01,1.101256772560450618e-06
9.499999999999999556e-01,1.134947178726367772e-06
9.699999999999999734e-01,1.186340392172045057e-06
9.899999999999999911e-01,1.220866894197246877e-06
1.010000000000000009e+00,1.171500422833867273e-06
1.030000000000000027e+00,1.197170338263814262e-06
1.050000000000000044e+00,1.256981767034852468e-06
1.070000000000000062e+00,1.289388549697727043e-06
1.090000000000000080e+00,1.301139554648219319e-06
1.110000000000000098e+00,1.314152961554624461e-06
1.130000000000000115e+00,1.318734934778463574e-06
1.149999999999999911e+00,1.369252620796175643e-06
1.169999999999999929e+00,1.401222477645005778e-06
1.189999999999999947e+00,1.487549223817685045e-06
1.209999999999999964e+00,1.498861771100604308e-06
1.229999999999999982e+00,1.496266304469145427e-06
1.250000000000000000e+00,1.553501350615330110e-06
1.270000000000000018e+00,1.516775369791474723e-06
1.290000000000000036e+00,1.555041927588992495e-06
1.310000000000000053e+00,1.546963944415121785e-06
1.330000000000000071e+00,1.573429784813220754e-06
1.350000000000000089e+00,1.600733958185181227e-06
1.370000000000000107e+00,1.586752895831645440e-06
1.390000000000000124e+00,1.633005227956518606e-06
1.410000000000000142e+00,1.578168122411124983e-06
1.429999999999999938e+00,1.594511465747967490e-06
1.449999999999999956e+00,1.613799803139380051e-06
1.469999999999999973e+00,1.648666344213932443e-06
1.489999999999999991e+00,1.638050565447106942e-06
1.510000000000000009e+00,1.676698731211117167e-06
1.530000000000000027e+00,1.714919731240797051e-06
1.550000000000000044e+00,1.679878670607175793e-06
1.570000000000000062e+00,1.754300316807226806e-06
1.590000000000000080e+00,1.756724748127859665e-06
1.610000000000000098e+00,1.730523078107506119e-06
1.630000000000000115e+00,1.736734760217375465e-06
1.650000000000000133e+00,1.748415078527780215e-06
1.669999999999999929e+00,1.768931750866756421e-06
1.689999999999999947e+00,1.731788933552114358e-06
1.709999999999999964e+00,1.732101805008287782e-06
1.729999999999999982e+00,1.783750808348848866e-06
1.750000000000000000e+00,1.810566193344200891e-06
1.770000000000000018e+00,1.778052561767434021e-06
1.790000000000000036e+00,1.801917199046481656e-06
1.810000000000000053e+00,1.867846117932446515e-06
1.830000000000000071e+00,1.868985213476667641e-06
1.850000000000000089e+00,1.810391779526976884e-06
1.870000000000000107e+00,1.826670887928848468e-06
1.890000000000000124e+00,1.844209063019843875e-06
1.910000000000000142e+00,1.842399272681052858e-06
1.929999999999999938e+00,1.843111133287592910e-06
1.949999999999999956e+00,1.868631402267401076e-06
1.969999999999999973e+00,1.918950850386265633e-06
1.989999999999999991e+00,1.904938177752974241e-06
2.009999999999999787e+00,1.924976712113426612e-06
2.030000000000000249e+00,1.917688225067703590e-06
2.049999999999999822e+00,1.930996841164087747e-06
2.070000000000000284e+00,1.908155114040789102e-06
2.089999999999999858e+00,1.920197170094320037e-06
2.110000000000000320e+00,1.999054530912316389e-06
2.129999999999999893e+00,1.978730260510726431e-06
2.150000000000000355e+00,1.934456652390609830e-06
2.169999999999999929e+00,1.943967366377477623e-06
2.190000000000000391e+00,1.941712881811294943e-06
2.209999999999999964e+00,1.918032392261376446e-06
2.230000000000000426e+00,1.984241929415289608e-06
2.250000000000000000e+00,1.918978268349822184e-06
2.270000000000000462e+00,1.998613214156201015e-06
2.290000000000000036e+00,1.932938220177934409e-06
2.310000000000000053e+00,2.036488468972077028e-06
2.330000000000000071e+00,2.017003054124896473e-06
2.349999999999999645e+00,2.052094692576750690e-06
2.370000000000000107e+00,2.054436382740683961e-06
2.389999999999999680e+00,2.120160045490979530e-06
2.410000000000000142e+00,2.114517305400474877e-06
2.429999999999999716e+00,2.149582447616513875e-06
2.450000000000000178e+00,2.099453355367903113e-06
2.469999999999999751e+00,2.102621782865566474e-06
2.490000000000000213e+00,2.039076584596424130e-06
2.509999999999999787e+00,2.134123537183050352e-06
2.530000000000000249e+00,2.037862920309326019e-06
2.549999999999999822e+00,2.038931721433129719e-06
2.570000000000000284e+00,2.123042352164316920e-06
2.589999999999999858e+00,2.079646572103520472e-06
2.610000000000000320e+00,2.090351721477574139e-06
2.629999999999999893e+00,2.122016451969145276e-06
2.650000000000000355e+00,2.097913604684503068e-06
2.669999999999999929e+00,2.074653997484118828e-06
2.690000000000000391e+00,2.146128459200297546e-06
2.709999999999999964e+00,2.135858480296242475e-06
2.730000000000000426e+00,2.079487688411401757e-06
2.750000000000000000e+00,2.153449756015299180e-06
2.770000000000000462e+00,2.039265893244066562e-06
2.790000000000000036e+00,2.094360467567210182e-06
2.810000000000000053e+00,2.044714475644401680e-06
2.830000000000000071e+00,2.101469574526654673e-06
2.849999999999999645e+00,2.061880080341942393e-06
2.870000000000000107e+00,2.082185743358585259e-06
2.889999999999999680e+00,2.090341626880974548e-06
2.910000000000000142e+00,2.019778220873480598e-06
2.929999999999999716e+00,2.066033344818500681e-06
2.950000000000000178e+00,2.080042371942631687e-06
2.969999999999999751e+00,2.124185522317637064e-06
2.990000000000000213e+00,2.079589611102988268e-06
3.009999999999999787e+00,2.025380340460523725e-06
3.030000000000000249e+00,2.069090787981214775e-06
3.049999999999999822e+00,2.043340317936422892e-06
3.070000000000000284e+00,2.024704905199416725e-06
3.089999999999999858e+00,2.067979120466743957e-06
3.110000000000000320e+00,1.967368395061001429e-06
3.129999999999999893e+00,2.013143186298737512e-06
3.150000000000000355e+00,2.082322606558720300e-06
3.169999999999999929e+00,2.048218340478961735e-06
3.190000000000000391e+00,2.030839261439457751e-06
3.209999999999999964e+00,2.111692045087909617e-06
3.230000000000000426e+00,1.989822529518546664e-06
3.250000000000000000e+00,2.040987038559935593e-06
3.270000000000000462e+00,2.040742034387657772e-06
3.290000000000000036e+00,1.999553873811377256e-06
3.310000000000000497e+00,1.996388536939369684e-06
3.330000000000000071e+00,2.019953767123244814e-06
3.349999999999999645e+00,1.934927538078067260e-06
3.370000000000000107e+00,2.012776921175743298e-06
3.389999999999999680e+00,2.021714601163670036e-06
3.410000000000000142e+00,1.999754282794622643e-06
3.429999999999999716e+00,2.027473413763905639e-06
3.450000000000000178e+00,1.955841969561011168e-06
3.469999999999999751e+00,2.018195839854702248e-06
3.490000000000000213e+00,1.955349062637021327e-06
3.509999999999999787e+00,1.928396725004789033e-06
3.530000000000000249e+00,1.952760949724995695e-06
3.549999999999999822e+00,1.956676595825325351e-06
3.570000000000000284e+00,1.983948199115576592e-06
3.589999999999999858e+00,1.926976572070356747e-06
3.610000000000000320e+00,1.937562532693419201e-06
3.629999999999999893e+00,1.904371273854651384e-06
3.650000000000000355e+00,1.947887153843416014e-06
3.669999999999999929e+00,1.875521852155107982e-06
3.690000000000000391e+00,1.871519895154836414e-06
3.709999999999999964e+00,1.862514269556508634e-06
3.730000000000000426e+00,1.836431003850625028e-06
3.750000000000000000e+00,1.909075601165544089e-06
3.770000000000000462e+00,1.846757967602483032e-06
3.790000000000000036e+00,1.910216377454785914e-06
3.810000000000000497e+00,1.841663430822415830e-06
3.830000000000000071e+00,1.846400561283749724e-06
3.849999999999999645e+00,1.848639046849169954e-06
3.870000000000000107e+00,1.768051533812997796e-06
3.889999999999999680e+00,1.791935669455987749e-06
3.910000000000000142e+00,1.827464533495689464e-06
3.929999999999999716e+00,1.829698282629268341e-06
3.950000000000000178e+00,1.762048017234923991e-06
3.969999999999999751e+00,1.794647408472375624e-06
3.990000000000000213e+00,1.769851642952763315e-06
4.009999999999999787e+00,1.749220817318260495e-06
4.030000000000000249e+00,1.719860634208554302e-06
4.050000000000000711e+00,1.710461481488367332e-06
4.070000000000000284e+00,1.694415095285293875e-06
4.089999999999999858e+00,1.657596534247740561e-06
4.109999999999999432e+00,1.632416691949337920e-06
4.129999999999999893e+00,1.607661351702013245e-06
4.150000000000000355e+00,1.626107922312756884e-06
4.169999999999999929e+00,1.649115475271703112e-06
4.189999999999999503e+00,1.632671674372154942e-06
4.209999999999999964e+00,1.589243042335525876e-06
4.230000000000000426e+00,1.547485953313522660e-06
4.250000000000000000e+00,1.556376505186562228e-06
4.269999999999999574e+00,1.549494844743247359e-06
4.290000000000000036e+00,1.568754003811775443e-06
4.310000000000000497e+00,1.546934669481570251e-06
4.330000000000000071e+00,1.501479431551856758e-06
4.349999999999999645e+00,1.480506280406859113e-06
4.370000000000000107e+00,1.452487546347084029e-06
4.390000000000000568e+00,1.502003697546893963e-06
4.410000000000000142e+00,1.433368248691425928e-06
4.429999999999999716e+00,1.479967998859377156e-06
4.450000000000000178e+00,1.405141226135391171e-06
4.470000000000000639e+00,1.374663648711510217e-06
4.490000000000000213e+00,1.419590571959561832e-06
4.509999999999999787e+00,1.388296388778545182e-06
4.530000000000000249e+00,1.398004158311555705e-06
4.550000000000000711e+00,1.334011069003052368e-06
4.570000000000000284e+00,1.312263966857815743e-06
4.589999999999999858e+00,1.328598429960138518e-06
4.610000000000000320e+00,1.339548175574914717e-06
4.629999999999999893e+00,1.314908884928183298e-06
4.650000000000000355e+00,1.267527080946325661e-06
4.669999999999999929e+00,1.237941141813640039e-06
4.689999999999999503e+00,1.248481942169737697e-06
4.709999999999999964e+00,1.271833338858214483e-06
4.730000000000000426e+00,1.214980142529454438e-06
4.750000000000000000e+00,1.202368685310748787e-06
4.769999999999999574e+00,1.223232761232771575e-06
4.790000000000000036e+00,1.236241799930446871e-06
4.810000000000000497e+00,1.226525935185489823e-06
4.830000000000000071e+00,1.204417430860369245e-06
4.849999999999999645e+00,1.171577843773162486e-06
4.870000000000000107e+00,1.172608475469251108e-06
4.890000000000000568e+00,1.150105257233106134e-06
4.910000000000000142e+00,1.139580555870240743e-06
4.929999999999999716e+00,1.156295344777267392e-06
4.950000000000000178e+00,1.165162259617220919e-06
4.970000000000000639e+00,1.152164251640641277e-06
4.990000000000000213e+00,1.100811211745536186e-06
5.009999999999999787e+00,1.116691029491231890e-06
5.030000000000000249e+00,1.069483088047401814e-06
5.050000000000000711e+00,1.082065018646785181e-06
5.070000000000000284e+00,1.094226567512296498e-06
5.089999999999999858e+00,1.069713264216325382e-06
5.110000000000000320e+00,1.061272376449745765e-06
5.129999999999999893e+00,1.040067389991485708e-06
5.150000000000000355e+00,9.966297639777440924e-07
5.169999999999999929e+00,9.997355395201419637e-07
5.189999999999999503e+00,9.694931562757684584e-07
5.209999999999999964e+00,9.927696948538664024e-07
5.230000000000000426e+00,9.773532430106218576e-07
5.250000000000000000e+00,9.524785839588401429e-07
5.269999999999999574e+00,9.391307384087454330e-07
5.290000000000000036e+00,9.171517625289403279e-07
5.310000000000000497e+00,9.617944806580261581e-07
5.330000000000000071e+00,9.089844809562685687e-07
5.349999999999999645e+00,8.919547215873119619e-07
5.370000000000000107e+00,9.032856512326630470e-07
5.390000000000000568e+00,8.837965910469484238e-07
5.410000000000000142e+00,8.437734642545500867e-07
5.429999999999999716e+00,8.415530475233733501e-07
5.450000000000000178e+00,8.467215886774127377e-07
5.470000000000000639e+00,8.046777324237580978e-07
5.490000000000000213e+00,8.307866544083383070e-07
5.509999999999999787e+00,8.158441416892051046e-07
5.530000000000000249e+00,7.894188580040081837e-07
5.550000000000000711e+00,8.249474619703885125e-07
5.570000000000000284e+00,7.583392589048860467e-07
5.589999999999999858e+00,7.503917944449685698e-07
5.610000000000000320e+00,7.551583583836592520e-07
5.629999999999999893e+00,7.328683713650821496e-07
5.650000000000000355e+00,7.224712982622279872e-07
5.669999999999999929e+00,7.067518380985630261e-07
5.689999999999999503e+00,7.147975387566279405e-07
5.709999999999999964e+00,6.474852632611018816e-07
5.730000000000000426e+00,6.780570656443065357e-07
5.750000000000000000e+00,6.594938915284453973e-07
5.769999999999999574e+00,6.810461787332979487e-07
5.790000000000000036e+00,6.416189115316262709e-07
5.810000000000000497e+00,6.570280505926551044e-07
5.830000000000000071e+00,6.270294964467407889e-07
5.849999999999999645e+00,6.191254791894189313e-07
5.870000000000000107e+00,5.695225128653463691e-07
5.890000000000000568e+00,5.841144974752282733e-07
5.910000000000000142e+00,5.594668346299461019e-07
5.929999999999999716e+00,5.156302230955298917e-07
5.950000000000000178e+00,4.824291873603472197e-07
5.970000000000000639e+00,5.247980196392042565e-07
5.990000000000000213e+00,4.573089974858413412e-07
6.009999999999999787e+00,4.563938385281117796e-07
6.030000000000000249e+00,4.640456777855431376e-07
6.050000000000000711e+00,4.202831415059003414e-07
6.070000000000000284e+00,4.185600099896832384e-07
6.089999999999999858e+00,4.045985410878051407e-07
6.110000000000000320e+00,3.853427913318770853e-07
6.130000000000000782e+00,3.518266657001373372e-07
6.150000000000000355e+00,3.285135437305040929e-07
6.169999999999999929e+00,3.105116381021131092e-07
6.189999999999999503e+00,2.912925765385454904e-07
6.209999999999999964e+00,2.712685379102088533e-07
6.230000000000000426e+00,2.650981593128702574e-07
6.250000000000000000e+00,2.414236309700385288e-07
6.269999999999999574e+00,2.116575619445261458e-07
6.290000000000000036e+00,1.977702384207448427e-07
6.310000000000000497e+00,1.859268507800842900e-07
6.330000000000000071e+00,1.789683880149971380e-07
6.349999999999999645e+00,1.455819238503131864e-07
6.370000000000000107e+00,1.402629197354439937e-07
6.390000000000000568e+00,1.052741088416087219e-07
6.410000000000000142e+00,1.109385357082404502e-07
6.429999999999999716e+00,8.044187654448206951e-08
6.450000000000000178e+00,7.229860902140247333e-08
6.470000000000000639e+00,5.888106169115283131e-08
6.490000000000000213e+00,5.480816175375529536e-08
6.509999999999999787e+00,3.652981336339919047e-08
6.530000000000000249e+00,2.678186003805989313e-08
6.550000000000000711e+00,2.555856581996744648e-08
6.570000000000000284e+00,1.784567532712565824e-08
6.589999999999999858e+00,1.500335040200643372e-08
6.610000000000000320e+00,9.324524899824784829e-09
6.630000000000000782e+00,1.013260544528238674e-08
6.650000000000000355e+00,5.267699892768078901e-09
6.669999999999999929e+00,5.266349048201664912e-09
6.689999999999999503e+00,2.835020046249459719e-09
6.709999999999999964e+00,0.000000000000000000e+00
6.730000000000000426e+00,8.096707212025891498e-10
6.750000000000000000e+00,8.093985431434184974e-10
6.769999999999999574e+00,0.000000000000000000e+00
6.790000000000000036e+00,0.000000000000000000e+00
6.810000000000000497e+00,0.000000000000000000e+00
6.830000000000000071e+00,0.000000000000000000e+00
6.849999999999999645e+00,0.000000000000000000e+00
6.870000000000000107e+00,0.000000000000000000e+00
6.890000000000000568e+00,0.000000000000000000e+00
6.910000000000000142e+00,0.000000000000000000e+00
6.929999999999999716e+00,0.000000000000000000e+00
6.950000000000000178e+00,0.000000000000000000e+00
6.970000000000000639e+00,0.000000000000000000e+00
6.990000000000000213e+00,0.000000000000000000e+00
7.009999999999999787e+00,0.000000000000000000e+00
7.030000000000000249e+00,0.000000000000000000e+00
7.050000000000000711e+00,0.000000000000000000e+00
7.070000000000000284e+00,0.000000000000000000e+00
7.089999999999999858e+00,0.000000000000000000e+00
7.110000000000000320e+00,0.000000000000000000e+00
7.130000000000000782e+00,0.000000000000000000e+00
7.150000000000000355e+00,0.000000000000000000e+00
7.169999999999999929e+00,0.000000000000000000e+00
