theta_deg,rate_Hz
1.000000000000000021e-02,2.405102398876728678e-08
2.999999999999999889e-02,6.582380923349303904e-08
5.000000000000000278e-02,9.114052510316137956e-08
7.000000000000000666e-02,1.350226960453012674e-07
8.999999999999999667e-02,1.586512243203179507e-07
1.100000000000000006e-01,1.767941899725192757e-07
1.300000000000000044e-01,2.037976905521294766e-07
1.500000000000000222e-01,2.388175712172909968e-07
1.699999999999999845e-01,2.502084646240504140e-07
1.900000000000000022e-01,2.751009345782716380e-07
2.100000000000000200e-01,3.181358571027625879e-07
2.299999999999999822e-01,3.573725487499588503e-07
2.500000000000000000e-01,3.569474524988749817e-07
2.700000000000000178e-01,4.046210602862794145e-07
2.900000000000000355e-01,4.278221113524264906e-07
3.099999999999999978e-01,4.670551908248640006e-07
3.300000000000000155e-01,4.708469130381800460e-07
3.499999999999999778e-01,5.121873621701388977e-07
3.699999999999999956e-01,5.374942570200299613e-07
3.900000000000000133e-01,5.830508571618446052e-07
4.100000000000000311e-01,5.910580499390714581e-07
4.299999999999999933e-01,5.986429166724991703e-07
4.500000000000000111e-01,6.159298998682575163e-07
4.699999999999999734e-01,6.505120456404724484e-07
4.899999999999999911e-01,6.699061199986814893e-07
5.100000000000000089e-01,7.027980874816972765e-07
5.300000000000000266e-01,6.808489883353798834e-07
5.500000000000000444e-01,7.356734311982034608e-07
5.700000000000000622e-01,6.850395234048661997e-07
5.899999999999999689e-01,7.871042518338614946e-07
6.099999999999999867e-01,7.972102697036358274e-07
6.300000000000000044e-01,8.431677384050582485e-07
6.500000000000000222e-01,8.304943792960583143e-07
6.700000000000000400e-01,8.435495005086755176e-07
6.900000000000000577e-01,9.072149622040259201e-07
7.099999999999999645e-01,9.059266062243453944e-07
7.299999999999999822e-01,9.463899292030898604e-07
7.500000000000000000e-01,9.623900562916264773e-07
7.700000000000000178e-01,9.535072959554897467e-07
7.900000000000000355e-01,1.035712996634111116e-06
8.100000000000000533e-01,1.035682817229959196e-06
8.300000000000000711e-01,1.031435048411030427e-06
8.499999999999999778e-01,1.010741462549136720e-06
8.699999999999999956e-01,1.084499269290723888e-06
8.900000000000000133e-01,1.091632244586918793e-06
9.100000000000000311e-01,1.116472379135096771e-06
9.300000000000000488e-01,1.101256772560447230e-06
9.499999999999999556e-01,1.134947178726377937e-06
9.699999999999999734e-01,1.186340392172034893e-06
9.899999999999999911e-01,1.220866894197253653e-06
1.010000000000000009e+00,1.171500422833867273e-06
1.030000000000000027e+00,1.197170338263814262e-06
1.050000000000000044e+00,1.256981767034859245e-06
1.070000000000000062e+00,1.289388549697733819e-06
1.090000000000000080e+00,1.301139554648205767e-06
1.110000000000000098e+00,1.314152961554617685e-06
1.130000000000000115e+00,1.318734934778477126e-06
1.149999999999999911e+00,1.369252620796189196e-06
1.169999999999999929e+00,1.401222477644985449e-06
1.189999999999999947e+00,1.487549223817691822e-06
1.209999999999999964e+00,1.498861771100611084e-06
1.229999999999999982e+00,1.496266304469152204e-06
1.250000000000000000e+00,1.553501350615303005e-06
1.270000000000000018e+00,1.516775369791488275e-06
1.290000000000000036e+00,1.555041927588978942e-06
1.310000000000000053e+00,1.546963944415142113e-06
1.330000000000000071e+00,1.573429784813200425e-06
1.350000000000000089e+00,1.600733958185188003e-06
1.370000000000000107e+00,1.586752895831658992e-06
1.390000000000000124e+00,1.633005227956491501e-06
1.410000000000000142e+00,1.578168122411138536e-06
1.429999999999999938e+00,1.594511465747967490e-06
1.449999999999999956e+00,1.613799803139380051e-06
1.469999999999999973e+00,1.648666344213945995e-06
1.489999999999999991e+00,1.638050565447093389e-06
1.510000000000000009e+00,1.676698731211103614e-06
1.530000000000000027e+00,1.714919731240810603e-06
1.550000000000000044e+00,1.679878670607202898e-06
1.570000000000000062e+00,1.754300316807213254e-06
1.590000000000000080e+00,1.756724748127846112e-06
1.610000000000000098e+00,1.730523078107492566e-06
1.630000000000000115e+00,1.736734760217402570e-06
1.650000000000000133e+00,1.748415078527766663e-06
1.669999999999999929e+00,1.768931750866756421e-06
1.689999999999999947e+00,1.731788933552100805e-06
1.709999999999999964e+00,1.732101805008287782e-06
1.729999999999999982e+00,1.783750808348875971e-06
1.750000000000000000e+00,1.810566193344187338e-06
1.770000000000000018e+00,1.778052561767434021e-06
1.790000000000000036e+00,1.801917199046468103e-06
1.810000000000000053e+00,1.867846117932460068e-06
1.830000000000000071e+00,1.868985213476681193e-06
1.850000000000000089e+00,1.810391779526936227e-06
1.870000000000000107e+00,1.826670887928889125e-06
1.890000000000000124e+00,1.844209063019830322e-06
1.910000000000000142e+00,1.842399272681052858e-06
1.929999999999999938e+00,1.843111133287579357e-06
1.949999999999999956e+00,1.868631402267428182e-06
1.969999999999999973e+00,1.918950850386252080e-06
1.989999999999999991e+00,1.904938177752947136e-06
2.009999999999999787e+00,1.924976712113467270e-06
2.030000000000000249e+00,1.917688225067662932e-06
2.049999999999999822e+00,1.930996841164128405e-06
2.070000000000000284e+00,1.908155114040789102e-06
2.089999999999999858e+00,1.920197170094333590e-06
2.110000000000000320e+00,1.999054530912343494e-06
2.129999999999999893e+00,1.978730260510672221e-06
2.150000000000000355e+00,1.934456652390609830e-06
2.169999999999999929e+00,1.943967366377504728e-06
2.190000000000000391e+00,1.941712881811294943e-06
2.209999999999999964e+00,1.918032392261403551e-06
2.230000000000000426e+00,1.984241929415262503e-06
2.250000000000000000e+00,1.918978268349795079e-06
2.270000000000000462e+00,1.998613214156228120e-06
2.290000000000000036e+00,1.932938220177907304e-06
2.310000000000000053e+00,2.036488468972077028e-06
2.330000000000000071e+00,2.017003054124950684e-06
2.349999999999999645e+00,2.052094692576723585e-06
2.370000000000000107e+00,2.054436382740656855e-06
2.389999999999999680e+00,2.120160045490952425e-06
2.410000000000000142e+00,2.114517305400501982e-06
2.429999999999999716e+00,2.149582447616540980e-06
2.450000000000000178e+00,2.099453355367903113e-06
2.469999999999999751e+00,2.102621782865566474e-06
2.490000000000000213e+00,2.039076584596451235e-06
2.509999999999999787e+00,2.134123537182996142e-06
2.530000000000000249e+00,2.037862920309298914e-06
2.549999999999999822e+00,2.038931721433183929e-06
2.570000000000000284e+00,2.123042352164208500e-06
2.589999999999999858e+00,2.079646572103574682e-06
2.610000000000000320e+00,2.090351721477574139e-06
2.629999999999999893e+00,2.122016451969199486e-06
2.650000000000000355e+00,2.097913604684448858e-06
2.669999999999999929e+00,2.074653997484118828e-06
2.690000000000000391e+00,2.146128459200324651e-06
2.709999999999999964e+00,2.135858480296242475e-06
2.730000000000000426e+00,2.079487688411374652e-06
2.750000000000000000e+00,2.153449756015299180e-06
2.770000000000000462e+00,2.039265893244066562e-06
2.790000000000000036e+00,2.094360467567264392e-06
2.810000000000000053e+00,2.044714475644374575e-06
2.830000000000000071e+00,2.101469574526600463e-06
2.849999999999999645e+00,2.061880080341969498e-06
2.870000000000000107e+00,2.082185743358585259e-06
2.889999999999999680e+00,2.090341626881028758e-06
2.910000000000000142e+00,2.019778220873399283e-06
2.929999999999999716e+00,2.066033344818527786e-06
2.950000000000000178e+00,2.080042371942658792e-06
2.969999999999999751e+00,2.124185522317637064e-06
2.990000000000000213e+00,2.079589611102961163e-06
3.009999999999999787e+00,2.025380340460523725e-06
3.030000000000000249e+00,2.069090787981241880e-06
3.049999999999999822e+00,2.043340317936422892e-06
3.070000000000000284e+00,2.024704905199389620e-06
3.089999999999999858e+00,2.067979120466716851e-06
3.110000000000000320e+00,1.967368395061082744e-06
3.129999999999999893e+00,2.013143186298710407e-06
3.150000000000000355e+00,2.082322606558693195e-06
3.169999999999999929e+00,2.048218340478961735e-06
3.190000000000000391e+00,2.030839261439403541e-06
3.209999999999999964e+00,2.111692045087990932e-06
3.230000000000000426e+00,1.989822529518492453e-06
3.250000000000000000e+00,2.040987038560016908e-06
3.270000000000000462e+00,2.040742034387684877e-06
3.290000000000000036e+00,1.999553873811377256e-06
3.310000000000000497e+00,1.996388536939478105e-06
3.330000000000000071e+00,2.019953767123190604e-06
3.349999999999999645e+00,1.934927538078067260e-06
3.370000000000000107e+00,2.012776921175797509e-06
3.389999999999999680e+00,2.021714601163615826e-06
3.410000000000000142e+00,1.999754282794568433e-06
3.429999999999999716e+00,2.027473413763905639e-06
3.450000000000000178e+00,1.955841969561065378e-06
3.469999999999999751e+00,2.018195839854702248e-06
3.490000000000000213e+00,1.955349062636912907e-06
3.509999999999999787e+00,1.928396725004897453e-06
3.530000000000000249e+00,1.952760949724941485e-06
3.549999999999999822e+00,1.956676595825325351e-06
3.570000000000000284e+00,1.983948199115522382e-06
3.589999999999999858e+00,1.926976572070356747e-06
3.610000000000000320e+00,1.937562532693419201e-06
3.629999999999999893e+00,1.904371273854705594e-06
3.650000000000000355e+00,1.947887153843416014e-06
3.669999999999999929e+00,1.875521852155053772e-06
3.690000000000000391e+00,1.871519895154836414e-06
3.709999999999999964e+00,1.862514269556454424e-06
3.730000000000000426e+00,1.836431003850679238e-06
3.750000000000000000e+00,1.909075601165489879e-06
3.770000000000000462e+00,1.846757967602537243e-06
3.790000000000000036e+00,1.910216377454785914e-06
3.810000000000000497e+00,1.841663430822470041e-06
3.830000000000000071e+00,1.846400561283749724e-06
3.849999999999999645e+00,1.848639046849061534e-06
3.870000000000000107e+00,1.768051533813106216e-06
3.889999999999999680e+00,1.791935669455987749e-06
3.910000000000000142e+00,1.827464533495581044e-06
3.929999999999999716e+00,1.829698282629268341e-06
3.950000000000000178e+00,1.762048017235032411e-06
3.969999999999999751e+00,1.794647408472267204e-06
3.990000000000000213e+00,1.769851642952763315e-06
4.009999999999999787e+00,1.749220817318314705e-06
4.030000000000000249e+00,1.719860634208554302e-06
4.050000000000000711e+00,1.710461481488421542e-06
4.070000000000000284e+00,1.694415095285239665e-06
4.089999999999999858e+00,1.657596534247686351e-06
4.109999999999999432e+00,1.632416691949392130e-06
4.129999999999999893e+00,1.607661351701959035e-06
4.150000000000000355e+00,1.626107922312648463e-06
4.169999999999999929e+00,1.649115475271865743e-06
4.189999999999999503e+00,1.632671674372046522e-06
4.209999999999999964e+00,1.589243042335580086e-06
4.230000000000000426e+00,1.547485953313522660e-06
4.250000000000000000e+00,1.556376505186616438e-06
4.269999999999999574e+00,1.549494844743193149e-06
4.290000000000000036e+00,1.568754003811829653e-06
4.310000000000000497e+00,1.546934669481407620e-06
4.330000000000000071e+00,1.501479431551965178e-06
4.349999999999999645e+00,1.480506280406750693e-06
4.370000000000000107e+00,1.452487546347192449e-06
4.390000000000000568e+00,1.502003697546948173e-06
4.410000000000000142e+00,1.433368248691425928e-06
4.429999999999999716e+00,1.479967998859377156e-06
4.450000000000000178e+00,1.405141226135391171e-06
4.470000000000000639e+00,1.374663648711510217e-06
4.490000000000000213e+00,1.419590571959561832e-06
4.509999999999999787e+00,1.388296388778436762e-06
4.530000000000000249e+00,1.398004158311664125e-06
4.550000000000000711e+00,1.334011069003052368e-06
4.570000000000000284e+00,1.312263966857707322e-06
4.589999999999999858e+00,1.328598429960192728e-06
4.610000000000000320e+00,1.339548175574968927e-06
4.629999999999999893e+00,1.314908884928237508e-06
4.650000000000000355e+00,1.267527080946271451e-06
4.669999999999999929e+00,1.237941141813640039e-06
4.689999999999999503e+00,1.248481942169737697e-06
4.709999999999999964e+00,1.271833338858214483e-06
4.730000000000000426e+00,1.214980142529508648e-06
4.750000000000000000e+00,1.202368685310694577e-06
4.769999999999999574e+00,1.223232761232663154e-06
4.790000000000000036e+00,1.236241799930609502e-06
4.810000000000000497e+00,1.226525935185435612e-06
4.830000000000000071e+00,1.204417430860260825e-06
4.849999999999999645e+00,1.171577843773216696e-06
4.870000000000000107e+00,1.172608475469359528e-06
4.890000000000000568e+00,1.150105257233051924e-06
4.910000000000000142e+00,1.139580555870186532e-06
4.929999999999999716e+00,1.156295344777321602e-06
4.950000000000000178e+00,1.165162259617166709e-06
4.970000000000000639e+00,1.152164251640641277e-06
4.990000000000000213e+00,1.100811211745644606e-06
5.009999999999999787e+00,1.116691029491123470e-06
5.030000000000000249e+00,1.069483088047456024e-06
5.050000000000000711e+00,1.082065018646568341e-06
5.070000000000000284e+00,1.094226567512459128e-06
5.089999999999999858e+00,1.069713264216271172e-06
5.110000000000000320e+00,1.061272376449962605e-06
5.129999999999999893e+00,1.040067389991323078e-06
5.150000000000000355e+00,9.966297639778525126e-07
5.169999999999999929e+00,9.997355395200877536e-07
5.189999999999999503e+00,9.694931562757684584e-07
5.209999999999999964e+00,9.927696948538121922e-07
5.230000000000000426e+00,9.773532430105676475e-07
5.250000000000000000e+00,9.524785839590027732e-07
5.269999999999999574e+00,9.391307384085828026e-07
5.290000000000000036e+00,9.171517625289945380e-07
5.310000000000000497e+00,9.617944806579719480e-07
5.330000000000000071e+00,9.089844809563769890e-07
5.349999999999999645e+00,8.919547215873119619e-07
5.370000000000000107e+00,9.032856512326088369e-07
5.390000000000000568e+00,8.837965910468942136e-07
5.410000000000000142e+00,8.437734642546585069e-07
5.429999999999999716e+00,8.415530475233191400e-07
5.450000000000000178e+00,8.467215886773585276e-07
5.470000000000000639e+00,8.046777324237580978e-07
5.490000000000000213e+00,8.307866544082840969e-07
5.509999999999999787e+00,8.158441416893677349e-07
5.530000000000000249e+00,7.894188580039539736e-07
5.550000000000000711e+00,8.249474619703885125e-07
5.570000000000000284e+00,7.583392589048860467e-07
5.589999999999999858e+00,7.503917944450227799e-07
5.610000000000000320e+00,7.551583583837134621e-07
5.629999999999999893e+00,7.332782918676263896e-07
5.650000000000000355e+00,7.228810641006218167e-07
5.669999999999999929e+00,7.071615203098412065e-07
5.689999999999999503e+00,7.152071582522856637e-07
5.709999999999999964e+00,6.474852632611018816e-07
5.730000000000000426e+00,6.796949802023049582e-07
5.750000000000000000e+00,6.644062919458257853e-07
5.769999999999999574e+00,6.871853845107772640e-07
5.790000000000000036e+00,6.473476249961129629e-07
5.810000000000000497e+00,6.660284386175328517e-07
5.830000000000000071e+00,6.388909239215135455e-07
5.849999999999999645e+00,6.305756499548945647e-07
5.870000000000000107e+00,5.842406959919799539e-07
5.890000000000000568e+00,5.984208007154905549e-07
5.910000000000000142e+00,5.778568979013004765e-07
5.929999999999999716e+00,5.458649245166269544e-07
5.950000000000000178e+00,5.138832477971666014e-07
5.970000000000000639e+00,5.570614551994243491e-07
5.990000000000000213e+00,4.956904179897483019e-07
6.009999999999999787e+00,5.041556922089833297e-07
6.030000000000000249e+00,5.085318561239503786e-07
6.050000000000000711e+00,4.745523920683214318e-07
6.070000000000000284e+00,4.870964609494411734e-07
6.089999999999999858e+00,4.690409531077788935e-07
6.110000000000000320e+00,4.721973453622788607e-07
6.130000000000000782e+00,4.329542115311590597e-07
6.150000000000000355e+00,4.304096185345066862e-07
6.169999999999999929e+00,4.123844882964887611e-07
6.189999999999999503e+00,3.951801724423262274e-07
6.209999999999999964e+00,3.922387022903478862e-07
6.230000000000000426e+00,3.823752792840996555e-07
6.250000000000000000e+00,3.847306638368633118e-07
6.269999999999999574e+00,3.484191155480979851e-07
6.290000000000000036e+00,3.422333657037866447e-07
6.310000000000000497e+00,3.360510883478311922e-07
6.330000000000000071e+00,3.546836312222595260e-07
6.349999999999999645e+00,3.021425406304878956e-07
6.370000000000000107e+00,3.069504558188599318e-07
6.390000000000000568e+00,2.719227281689764672e-07
6.410000000000000142e+00,2.840505863898668860e-07
6.429999999999999716e+00,2.583888308497301819e-07
6.450000000000000178e+00,2.441108650291724975e-07
6.470000000000000639e+00,2.204997774312941229e-07
6.490000000000000213e+00,2.289744621375129977e-07
6.509999999999999787e+00,1.927952941107734415e-07
6.530000000000000249e+00,2.093862602580830873e-07
6.550000000000000711e+00,1.736348668462278123e-07
6.570000000000000284e+00,1.610194610520603378e-07
6.589999999999999858e+00,1.690914856431759671e-07
6.610000000000000320e+00,1.520234758952267000e-07
6.630000000000000782e+00,1.418533504559424223e-07
6.650000000000000355e+00,1.337158614694747109e-07
6.669999999999999929e+00,1.381393147534227747e-07
6.689999999999999503e+00,1.251446227426176658e-07
6.709999999999999964e+00,1.162063567664017860e-07
6.730000000000000426e+00,1.052492684365394573e-07
6.750000000000000000e+00,9.389107547219882957e-08
6.769999999999999574e+00,9.467671662340094649e-08
6.790000000000000036e+00,8.899020780380384119e-08
6.810000000000000497e+00,8.613736174849359259e-08
6.830000000000000071e+00,7.358188196878064080e-08
6.849999999999999645e+00,7.315972837154509356e-08
6.870000000000000107e+00,5.616989567550469478e-08
6.890000000000000568e+00,6.302291679380431916e-08
6.910000000000000142e+00,6.543063420228183852e-08
6.929999999999999716e+00,5.774133371720842345e-08
6.950000000000000178e+00,5.369046123069199511e-08
6.970000000000000639e+00,5.004379480738141775e-08
6.990000000000000213e+00,4.882092342087208589e-08
7.009999999999999787e+00,3.993395997870874750e-08
7.030000000000000249e+00,4.355364101809406849e-08
7.050000000000000711e+00,4.071948554273778498e-08
7.070000000000000284e+00,3.466309348126687950e-08
7.089999999999999858e+00,3.263929749684670728e-08
7.110000000000000320e+00,3.343672569177487050e-08
7.130000000000000782e+00,2.899739257820324254e-08
7.150000000000000355e+00,2.375566249366179578e-08
7.169999999999999929e+00,2.696941726020030128e-08
