theta_deg,rate_Hz_per_0.02deg_bin
1.000000000000000021e-02,2.858799853737083768e-08
2.999999999999999889e-02,7.723769593425939288e-08
5.000000000000000278e-02,1.078316881740755696e-07
7.000000000000000666e-02,1.584871420947255149e-07
8.999999999999999667e-02,1.865729435937568785e-07
1.100000000000000006e-01,2.091414626005400216e-07
1.300000000000000044e-01,2.397342701658761243e-07
1.500000000000000222e-01,2.793541379694883369e-07
1.699999999999999845e-01,2.948999256144809180e-07
1.900000000000000022e-01,3.199743329194565046e-07
2.100000000000000200e-01,3.716288688535030842e-07
2.299999999999999822e-01,4.187686579016241504e-07
2.500000000000000000e-01,4.172603515858055725e-07
2.700000000000000178e-01,4.739270584410829092e-07
2.900000000000000355e-01,5.000002051972213314e-07
3.099999999999999978e-01,5.426221823114941413e-07
3.300000000000000155e-01,5.491352178758660743e-07
3.499999999999999778e-01,5.957666418477578868e-07
3.699999999999999956e-01,6.208326447596543952e-07
3.900000000000000133e-01,6.674609629843153008e-07
4.100000000000000311e-01,6.870081797841155194e-07
4.299999999999999933e-01,6.890034874225025077e-07
4.500000000000000111e-01,7.040357346708079344e-07
4.699999999999999734e-01,7.476488825376740906e-07
4.899999999999999911e-01,7.646844645677978780e-07
5.100000000000000089e-01,8.128070337000975803e-07
5.300000000000000266e-01,7.646556449804893347e-07
5.500000000000000444e-01,8.408534795366463886e-07
5.700000000000000622e-01,7.751534062814373606e-07
5.899999999999999689e-01,8.944661655717289754e-07
6.099999999999999867e-01,8.984572810068556695e-07
6.300000000000000044e-01,9.480711377212998931e-07
6.500000000000000222e-01,9.380216348112584869e-07
6.700000000000000400e-01,9.540415559927988086e-07
6.900000000000000577e-01,1.013173663930540614e-06
7.099999999999999645e-01,1.021168524450934530e-06
7.299999999999999822e-01,1.053725465153079937e-06
7.500000000000000000e-01,1.059210701152872210e-06
7.700000000000000178e-01,1.050158176692162954e-06
7.900000000000000355e-01,1.138348527477850384e-06
8.100000000000000533e-01,1.134304994133918658e-06
8.300000000000000711e-01,1.129759750405736265e-06
8.499999999999999778e-01,1.106167562704217219e-06
8.699999999999999956e-01,1.187826631607059008e-06
8.900000000000000133e-01,1.183277106461999009e-06
9.100000000000000311e-01,1.204787566165793453e-06
9.300000000000000488e-01,1.187206611453780527e-06
9.499999999999999556e-01,1.217734312780514772e-06
9.699999999999999734e-01,1.273313504605075461e-06
9.899999999999999911e-01,1.293812186663956257e-06
1.010000000000000009e+00,1.234638142555612830e-06
1.030000000000000027e+00,1.265155311072989642e-06
1.050000000000000044e+00,1.320220888881613111e-06
1.070000000000000062e+00,1.357744619801269987e-06
1.090000000000000080e+00,1.357189560201976843e-06
1.110000000000000098e+00,1.379678081039488151e-06
1.130000000000000115e+00,1.363089388994637083e-06
1.149999999999999911e+00,1.411120960339336368e-06
1.169999999999999929e+00,1.448628598582335540e-06
1.189999999999999947e+00,1.516686128580191834e-06
1.209999999999999964e+00,1.532145621638537814e-06
1.229999999999999982e+00,1.500022105764342488e-06
1.250000000000000000e+00,1.555043487792569606e-06
1.270000000000000018e+00,1.511903150336375707e-06
1.290000000000000036e+00,1.568918466630950386e-06
1.310000000000000053e+00,1.518768409226780193e-06
1.330000000000000071e+00,1.546735529628958359e-06
1.350000000000000089e+00,1.550163643071685601e-06
1.370000000000000107e+00,1.547081003182582815e-06
1.390000000000000124e+00,1.585050755576718748e-06
1.410000000000000142e+00,1.533905295401489257e-06
1.429999999999999938e+00,1.549843550765102177e-06
1.449999999999999956e+00,1.552263931774424089e-06
1.469999999999999973e+00,1.568698278941415087e-06
1.489999999999999991e+00,1.548091859005364532e-06
1.510000000000000009e+00,1.538996722653854349e-06
1.530000000000000027e+00,1.635497447250928221e-06
