theta_deg,rate_Hz_per_0.02deg_bin
1.000000000000000021e-02,3.356784051275145600e-08
2.999999999999999889e-02,9.069199591293741523e-08
5.000000000000000278e-02,1.266152597247743945e-07
7.000000000000000666e-02,1.860945582534020934e-07
8.999999999999999667e-02,2.190727172476446122e-07
1.100000000000000006e-01,2.455725173330387630e-07
1.300000000000000044e-01,2.814943809980382964e-07
1.500000000000000222e-01,3.280157547183931518e-07
1.699999999999999845e-01,3.462695012629158301e-07
1.900000000000000022e-01,3.757116851090211790e-07
2.100000000000000200e-01,4.363640693209794440e-07
2.299999999999999822e-01,4.917152609381472983e-07
2.500000000000000000e-01,4.899441904695634717e-07
2.700000000000000178e-01,5.564818078749574606e-07
2.900000000000000355e-01,5.870966741939764359e-07
3.099999999999999978e-01,6.371430507680439477e-07
3.300000000000000155e-01,6.447905616491077268e-07
3.499999999999999778e-01,6.995447831729160210e-07
3.699999999999999956e-01,7.289770366856570259e-07
3.900000000000000133e-01,7.837275883684356444e-07
4.100000000000000311e-01,8.066797059138288105e-07
4.299999999999999933e-01,8.090225009180904258e-07
4.500000000000000111e-01,8.266731624921620475e-07
4.699999999999999734e-01,8.778832791072157428e-07
4.899999999999999911e-01,8.978862206680816743e-07
5.100000000000000089e-01,9.543912341644108830e-07
5.300000000000000266e-01,8.978521657708161036e-07
5.500000000000000444e-01,9.873228908557180831e-07
5.700000000000000622e-01,9.101783127187907621e-07
5.899999999999999689e-01,1.050274162278885390e-06
6.099999999999999867e-01,1.054960345563449810e-06
6.300000000000000044e-01,1.113216321481223565e-06
6.500000000000000222e-01,1.101416122910871901e-06
6.700000000000000400e-01,1.120226388979216138e-06
6.900000000000000577e-01,1.189658549449284385e-06
7.099999999999999645e-01,1.199045838818827303e-06
7.299999999999999822e-01,1.237273662728037904e-06
7.500000000000000000e-01,1.243714154488478545e-06
7.700000000000000178e-01,1.233084554523173053e-06
7.900000000000000355e-01,1.336636480868417379e-06
8.100000000000000533e-01,1.331888357570233293e-06
8.300000000000000711e-01,1.326551127158897017e-06
8.499999999999999778e-01,1.298849190718702255e-06
8.699999999999999956e-01,1.394732045531190934e-06
8.900000000000000133e-01,1.389389759396055455e-06
9.100000000000000311e-01,1.414646783551409722e-06
9.300000000000000488e-01,1.394003140826781101e-06
9.499999999999999556e-01,1.429848069757198795e-06
9.699999999999999734e-01,1.495108109363729257e-06
9.899999999999999911e-01,1.519177044667680232e-06
1.010000000000000009e+00,1.449695329257128883e-06
1.030000000000000027e+00,1.485527817805787324e-06
1.050000000000000044e+00,1.550184676674845863e-06
1.070000000000000062e+00,1.594244113217862755e-06
1.090000000000000080e+00,1.593591965870322594e-06
1.110000000000000098e+00,1.619997236678506087e-06
1.130000000000000115e+00,1.600518622974697295e-06
1.149999999999999911e+00,1.656916112448207029e-06
1.169999999999999929e+00,1.700956529738498660e-06
1.189999999999999947e+00,1.780868099130552736e-06
1.209999999999999964e+00,1.799019876330115155e-06
1.229999999999999982e+00,1.761300474011507579e-06
1.250000000000000000e+00,1.825905114092677349e-06
1.270000000000000018e+00,1.775249951913727897e-06
1.290000000000000036e+00,1.842195774350577449e-06
1.310000000000000053e+00,1.783309936483886608e-06
1.330000000000000071e+00,1.816147851670193121e-06
1.350000000000000089e+00,1.820172505097622089e-06
1.370000000000000107e+00,1.816552347806514002e-06
1.390000000000000124e+00,1.861135087227663365e-06
1.410000000000000142e+00,1.801080512165042712e-06
1.429999999999999938e+00,1.819794281434596548e-06
1.449999999999999956e+00,1.822635626124478251e-06
1.469999999999999973e+00,1.841931858668513389e-06
1.489999999999999991e+00,1.817735610422899390e-06
1.510000000000000009e+00,1.807055663292746472e-06
1.530000000000000027e+00,1.920363978242755675e-06
1.550000000000000044e+00,1.837990792667307879e-06
1.570000000000000062e+00,1.918968697911956774e-06
1.590000000000000080e+00,1.883016096065468827e-06
1.610000000000000098e+00,1.878791648407184514e-06
1.630000000000000115e+00,1.855767545653304854e-06
1.650000000000000133e+00,1.871514049488933706e-06
1.669999999999999929e+00,1.884907975391787223e-06
1.689999999999999947e+00,1.834279485880878447e-06
1.709999999999999964e+00,1.795399975701576650e-06
1.729999999999999982e+00,1.866344544445009128e-06
1.750000000000000000e+00,1.882665570551360884e-06
1.770000000000000018e+00,1.824410381501522406e-06
1.790000000000000036e+00,1.856582422433910326e-06
1.810000000000000053e+00,1.875246088219980343e-06
1.830000000000000071e+00,1.889797005658005617e-06
1.850000000000000089e+00,1.793980181044232797e-06
1.870000000000000107e+00,1.789745615916433080e-06
1.890000000000000124e+00,1.826011561707521408e-06
1.910000000000000142e+00,1.779516505786882931e-06
1.929999999999999938e+00,1.823991588954698253e-06
1.949999999999999956e+00,1.809189954528939420e-06
1.969999999999999973e+00,1.858934073538081427e-06
1.989999999999999991e+00,1.804816412208458718e-06
2.009999999999999787e+00,1.827561759318664769e-06
2.030000000000000249e+00,1.802785427721897269e-06
2.049999999999999822e+00,1.806755046385423486e-06
2.070000000000000284e+00,1.762037841717649906e-06
2.089999999999999858e+00,1.780669256093884944e-06
2.110000000000000320e+00,1.809854493945266974e-06
2.129999999999999893e+00,1.777459118071338027e-06
2.150000000000000355e+00,1.760310385031428931e-06
2.169999999999999929e+00,1.743751430176987038e-06
2.190000000000000391e+00,1.714883177653462994e-06
2.209999999999999964e+00,1.683085681993094536e-06
2.230000000000000426e+00,1.759150335943105936e-06
2.250000000000000000e+00,1.664048314332604639e-06
2.270000000000000462e+00,1.769404737191322806e-06
2.290000000000000036e+00,1.671971974285467914e-06
2.310000000000000053e+00,1.781406864615880112e-06
2.330000000000000071e+00,1.708597902873977118e-06
2.349999999999999645e+00,1.762935222154859184e-06
2.370000000000000107e+00,1.713570939908978507e-06
2.389999999999999680e+00,1.763210901831324890e-06
2.410000000000000142e+00,1.751338859513838033e-06
2.429999999999999716e+00,1.753523482604992303e-06
2.450000000000000178e+00,1.692458952591519383e-06
2.469999999999999751e+00,1.754959917811876530e-06
2.490000000000000213e+00,1.628910557676896693e-06
2.509999999999999787e+00,1.702528971337541953e-06
2.530000000000000249e+00,1.632703615127875227e-06
2.549999999999999822e+00,1.593330076080350073e-06
2.570000000000000284e+00,1.710237984620006610e-06
2.589999999999999858e+00,1.641015165206312765e-06
2.610000000000000320e+00,1.668945271560263826e-06
2.629999999999999893e+00,1.639524793252288527e-06
2.650000000000000355e+00,1.624736749800129651e-06
2.669999999999999929e+00,1.591816439324863574e-06
2.690000000000000391e+00,1.608035129038303416e-06
2.709999999999999964e+00,1.638288568005103461e-06
2.730000000000000426e+00,1.560923721227284062e-06
2.750000000000000000e+00,1.585909866120989480e-06
2.770000000000000462e+00,1.523766985190327152e-06
2.790000000000000036e+00,1.618322941724019123e-06
2.810000000000000053e+00,1.542742522394048567e-06
2.830000000000000071e+00,1.559530792488633988e-06
2.849999999999999645e+00,1.564625175689147669e-06
2.870000000000000107e+00,1.556862510575511697e-06
2.889999999999999680e+00,1.570136418921272823e-06
2.910000000000000142e+00,1.480569507154197359e-06
2.929999999999999716e+00,1.525393042191798540e-06
2.950000000000000178e+00,1.511789589084839354e-06
2.969999999999999751e+00,1.537907185956150317e-06
2.990000000000000213e+00,1.541824073130381217e-06
3.009999999999999787e+00,1.482671662387148606e-06
3.030000000000000249e+00,1.514620120511710819e-06
3.049999999999999822e+00,1.437383850548011325e-06
3.070000000000000284e+00,1.447726054376186589e-06
3.089999999999999858e+00,1.480248752821869990e-06
3.110000000000000320e+00,1.404204177215248911e-06
3.129999999999999893e+00,1.442556572967545381e-06
3.150000000000000355e+00,1.465142911736798465e-06
3.169999999999999929e+00,1.435217397337578778e-06
3.190000000000000391e+00,1.412878736335311337e-06
3.209999999999999964e+00,1.478621097111459051e-06
3.230000000000000426e+00,1.365302565136102912e-06
3.250000000000000000e+00,1.429866483965685884e-06
3.270000000000000462e+00,1.452427976458434672e-06
3.290000000000000036e+00,1.375296902804836491e-06
3.310000000000000497e+00,1.397861660679050893e-06
3.330000000000000071e+00,1.408762828754195818e-06
3.349999999999999645e+00,1.321753972382973343e-06
3.370000000000000107e+00,1.371115142170025524e-06
3.389999999999999680e+00,1.379101754508415715e-06
3.410000000000000142e+00,1.404559106952252186e-06
3.429999999999999716e+00,1.399722165318810239e-06
3.450000000000000178e+00,1.372165426099432472e-06
3.469999999999999751e+00,1.380726423871818399e-06
3.490000000000000213e+00,1.345028538393398746e-06
3.509999999999999787e+00,1.330298730029742761e-06
3.530000000000000249e+00,1.309748676779797696e-06
3.549999999999999822e+00,1.294443113900217993e-06
3.570000000000000284e+00,1.329771665334260992e-06
