theta_deg,rate_Hz
1.000000000000000021e-02,2.405102398876729009e-08
2.999999999999999889e-02,6.497991429702975423e-08
5.000000000000000278e-02,9.071857854544646708e-08
7.000000000000000666e-02,1.333349119333037994e-07
8.999999999999999667e-02,1.569634456903106235e-07
1.100000000000000006e-01,1.759503038744219937e-07
1.300000000000000044e-01,2.016879842672997165e-07
1.500000000000000222e-01,2.350201186576135110e-07
1.699999999999999845e-01,2.480987793010661310e-07
1.900000000000000022e-01,2.691938556036616922e-07
2.100000000000000200e-01,3.126507566175197086e-07
2.299999999999999822e-01,3.523094194092934864e-07
2.500000000000000000e-01,3.510405225012850432e-07
2.700000000000000178e-01,3.987141877594471955e-07
2.900000000000000355e-01,4.206495448642687822e-07
3.099999999999999978e-01,4.565074238428445003e-07
3.300000000000000155e-01,4.619869014079156134e-07
3.499999999999999778e-01,5.012179496378591756e-07
3.699999999999999956e-01,5.223060424483910375e-07
3.900000000000000133e-01,5.615345102906564719e-07
4.100000000000000311e-01,5.779796787321536683e-07
4.299999999999999933e-01,5.796584424239200353e-07
4.500000000000000111e-01,5.923051880221397498e-07
4.699999999999999734e-01,6.289970580544984732e-07
4.899999999999999911e-01,6.433292368139342999e-07
5.100000000000000089e-01,6.838149242615117359e-07
5.300000000000000266e-01,6.433052934489417356e-07
5.500000000000000444e-01,7.074107575618498176e-07
5.700000000000000622e-01,6.521373976617886374e-07
5.899999999999999689e-01,7.525155521344110819e-07
6.099999999999999867e-01,7.558734918836166336e-07
6.300000000000000044e-01,7.976139338504306409e-07
6.500000000000000222e-01,7.891595020784918438e-07
6.700000000000000400e-01,8.026373385057069106e-07
6.900000000000000577e-01,8.523855831530609609e-07
7.099999999999999645e-01,8.591119569791350638e-07
7.299999999999999822e-01,8.865024972617890409e-07
7.500000000000000000e-01,8.911175473835619796e-07
7.700000000000000178e-01,8.835019375592296034e-07
7.900000000000000355e-01,9.576971486036511426e-07
8.100000000000000533e-01,9.542956599608910546e-07
8.300000000000000711e-01,9.504720863224495712e-07
8.499999999999999778e-01,9.306242305461253890e-07
8.699999999999999956e-01,9.993248046161373646e-07
8.900000000000000133e-01,9.954976691379113123e-07
9.100000000000000311e-01,1.013594960281943657e-06
9.300000000000000488e-01,9.988044220714444997e-07
9.499999999999999556e-01,1.024488014175371428e-06
9.699999999999999734e-01,1.071247633918481345e-06
9.899999999999999911e-01,1.088493811706027725e-06
1.010000000000000009e+00,1.038710727509132398e-06
1.030000000000000027e+00,1.064385560824439672e-06
1.050000000000000044e+00,1.110713216749590162e-06
1.070000000000000062e+00,1.142282813548333841e-06
1.090000000000000080e+00,1.141816405651478370e-06
1.110000000000000098e+00,1.160736799698803808e-06
1.130000000000000115e+00,1.146781161600965990e-06
1.149999999999999911e+00,1.187191242198496702e-06
1.169999999999999929e+00,1.218747473771701671e-06
1.189999999999999947e+00,1.276005730929178597e-06
1.209999999999999964e+00,1.289012696238470439e-06
1.229999999999999982e+00,1.261987502848407395e-06
1.250000000000000000e+00,1.308278433300058715e-06
1.270000000000000018e+00,1.271984642211720798e-06
1.290000000000000036e+00,1.319953181061172252e-06
1.310000000000000053e+00,1.277761998383711295e-06
1.330000000000000071e+00,1.301291936760708547e-06
1.350000000000000089e+00,1.304176866489498523e-06
1.370000000000000107e+00,1.301584210027305441e-06
1.390000000000000124e+00,1.333529624302011202e-06
1.410000000000000142e+00,1.290500929507715840e-06
1.429999999999999938e+00,1.303910912282626208e-06
1.449999999999999956e+00,1.305948089400019694e-06
1.469999999999999973e+00,1.319775495767549274e-06
1.489999999999999991e+00,1.302439814716644317e-06
1.510000000000000009e+00,1.294788795514126962e-06
1.530000000000000027e+00,1.375977754644331632e-06
1.550000000000000044e+00,1.316957193881921695e-06
1.570000000000000062e+00,1.374980977576626458e-06
1.590000000000000080e+00,1.349221675192731860e-06
1.610000000000000098e+00,1.346196267189522810e-06
1.630000000000000115e+00,1.329700482322740732e-06
1.650000000000000133e+00,1.340984748995804649e-06
1.669999999999999929e+00,1.350583379776810729e-06
1.689999999999999947e+00,1.314308347276403957e-06
1.709999999999999964e+00,1.286451703029988479e-06
1.729999999999999982e+00,1.337286970110154781e-06
1.750000000000000000e+00,1.348983066908762489e-06
1.770000000000000018e+00,1.307243180579046433e-06
1.790000000000000036e+00,1.330297034182192375e-06
1.810000000000000053e+00,1.343671795413857559e-06
1.830000000000000071e+00,1.354099694032395024e-06
1.850000000000000089e+00,1.285445537331351583e-06
1.870000000000000107e+00,1.282412994109972102e-06
1.890000000000000124e+00,1.308400478590985346e-06
1.910000000000000142e+00,1.275086849343787720e-06
1.929999999999999938e+00,1.306956575630572898e-06
1.949999999999999956e+00,1.296352415823895246e-06
1.969999999999999973e+00,1.331997760124051830e-06
1.989999999999999991e+00,1.293222157952640563e-06
2.009999999999999787e+00,1.309521920785165468e-06
2.030000000000000249e+00,1.291770494692839888e-06
2.049999999999999822e+00,1.294616730735347184e-06
2.070000000000000284e+00,1.262576766070886694e-06
2.089999999999999858e+00,1.275928833740800424e-06
2.110000000000000320e+00,1.296843253749361690e-06
2.129999999999999893e+00,1.273632371059989178e-06
2.150000000000000355e+00,1.261346384348301444e-06
2.169999999999999929e+00,1.249482983283251481e-06
2.190000000000000391e+00,1.228799337999608591e-06
2.209999999999999964e+00,1.206016694711681920e-06
2.230000000000000426e+00,1.260522846640072425e-06
2.250000000000000000e+00,1.192379155320527954e-06
2.270000000000000462e+00,1.267874634317458908e-06
2.290000000000000036e+00,1.198060668890685277e-06
2.310000000000000053e+00,1.276478884067877443e-06
2.330000000000000071e+00,1.224309119508541657e-06
2.349999999999999645e+00,1.263247008011868081e-06
2.370000000000000107e+00,1.227876608990671509e-06
2.389999999999999680e+00,1.263448721641405184e-06
2.410000000000000142e+00,1.254943774085858030e-06
2.429999999999999716e+00,1.256511311964139286e-06
2.450000000000000178e+00,1.212756747125901674e-06
2.469999999999999751e+00,1.257544903236849226e-06
2.490000000000000213e+00,1.167224213488674564e-06
2.509999999999999787e+00,1.219978894659372011e-06
2.530000000000000249e+00,1.169946287707726833e-06
2.549999999999999822e+00,1.141734415275225166e-06
2.570000000000000284e+00,1.225509439876042552e-06
2.589999999999999858e+00,1.175908388259484707e-06
2.610000000000000320e+00,1.195924536350503843e-06
2.629999999999999893e+00,1.174844701032644236e-06
2.650000000000000355e+00,1.164250080985573853e-06
2.669999999999999929e+00,1.140662236255422530e-06
2.690000000000000391e+00,1.152286361187507616e-06
2.709999999999999964e+00,1.173967590147392695e-06
2.730000000000000426e+00,1.118531478183144206e-06
2.750000000000000000e+00,1.136438296550499249e-06
2.770000000000000462e+00,1.091909777177496469e-06
2.790000000000000036e+00,1.159669479802738230e-06
2.810000000000000053e+00,1.105511677746448367e-06
2.830000000000000071e+00,1.117544157341849665e-06
2.849999999999999645e+00,1.121196961139026742e-06
2.870000000000000107e+00,1.115636526376656600e-06
2.889999999999999680e+00,1.125150773129672153e-06
2.910000000000000142e+00,1.060969781744918947e-06
2.929999999999999716e+00,1.093092360706916745e-06
2.950000000000000178e+00,1.083346385118074155e-06
2.969999999999999751e+00,1.102064494297168122e-06
2.990000000000000213e+00,1.104873631833333840e-06
3.009999999999999787e+00,1.062487140806857256e-06
3.030000000000000249e+00,1.085383791161266586e-06
3.049999999999999822e+00,1.030038105916217684e-06
3.070000000000000284e+00,1.037451606431026921e-06
3.089999999999999858e+00,1.060759900090111479e-06
3.110000000000000320e+00,1.006267831579055324e-06
3.129999999999999893e+00,1.033753820471621952e-06
3.150000000000000355e+00,1.049941768323546043e-06
3.169999999999999929e+00,1.028498995445933451e-06
3.190000000000000391e+00,1.012493010756673056e-06
3.209999999999999964e+00,1.059607473046452440e-06
3.230000000000000426e+00,9.784034954739338850e-07
3.250000000000000000e+00,1.024673624059604590e-06
3.270000000000000462e+00,1.040844050119243362e-06
3.290000000000000036e+00,9.855723633285312039e-07
3.310000000000000497e+00,1.001745142358879959e-06
3.330000000000000071e+00,1.009559549593837171e-06
3.349999999999999645e+00,9.472087328506954406e-07
3.370000000000000107e+00,9.825847378152274218e-07
3.389999999999999680e+00,9.883105286123434075e-07
3.410000000000000142e+00,1.006556507806237845e-06
3.429999999999999716e+00,1.003092578376351719e-06
3.450000000000000178e+00,9.833467616332698669e-07
3.469999999999999751e+00,9.894842919308175205e-07
3.490000000000000213e+00,9.639040864417081945e-07
3.509999999999999787e+00,9.533504135573989905e-07
3.530000000000000249e+00,9.386256493528789824e-07
3.549999999999999822e+00,9.276592760949114221e-07
3.570000000000000284e+00,9.529797574012405324e-07
3.589999999999999858e+00,9.399275429608261630e-07
3.610000000000000320e+00,9.093664123832644660e-07
3.629999999999999893e+00,9.142481095636271517e-07
3.650000000000000355e+00,9.424723291442537072e-07
3.669999999999999929e+00,8.839952567090759213e-07
3.690000000000000391e+00,9.313846397088860682e-07
3.709999999999999964e+00,8.750054337309739767e-07
3.730000000000000426e+00,8.673888735788904021e-07
3.750000000000000000e+00,9.210051091119726262e-07
3.770000000000000462e+00,8.742321874836414194e-07
3.790000000000000036e+00,9.132555352690883543e-07
3.810000000000000497e+00,8.560848714399065754e-07
3.830000000000000071e+00,8.776123728813922664e-07
3.849999999999999645e+00,8.475182273627698999e-07
3.870000000000000107e+00,8.424048523356867779e-07
3.889999999999999680e+00,8.476944860273346628e-07
3.910000000000000142e+00,8.196962605323766717e-07
3.929999999999999716e+00,8.511965942028403877e-07
3.950000000000000178e+00,8.065661455587702124e-07
3.969999999999999751e+00,8.060321983181003690e-07
3.990000000000000213e+00,7.975985960877900790e-07
4.009999999999999787e+00,8.294979436670546578e-07
4.030000000000000249e+00,7.690932862907664744e-07
4.050000000000000711e+00,7.419612813956688851e-07
4.070000000000000284e+00,7.696976284994486248e-07
4.089999999999999858e+00,7.321846834869338069e-07
4.109999999999999432e+00,7.083898826097656792e-07
4.129999999999999893e+00,7.182550882725287182e-07
4.150000000000000355e+00,7.131613596946808579e-07
4.169999999999999929e+00,7.271732950350686536e-07
4.189999999999999503e+00,7.125294593751218663e-07
4.209999999999999964e+00,6.929061019731288032e-07
4.230000000000000426e+00,6.608366072491725363e-07
4.250000000000000000e+00,6.715244890525520934e-07
4.269999999999999574e+00,6.909236595953099826e-07
4.290000000000000036e+00,6.841776228439595733e-07
4.310000000000000497e+00,6.683050718544168451e-07
4.330000000000000071e+00,6.171826557001736015e-07
4.349999999999999645e+00,6.145960276341397906e-07
4.370000000000000107e+00,5.974977012675089082e-07
4.390000000000000568e+00,6.289089114136839614e-07
