theta_deg,rate_Hz_per_0.02deg_bin
1.000000000000000021e-02,2.858799853737083768e-08
2.999999999999999889e-02,7.824078282977399809e-08
5.000000000000000278e-02,1.083332305303068889e-07
7.000000000000000666e-02,1.604933089455888161e-07
8.999999999999999667e-02,1.885791038545121560e-07
1.100000000000000006e-01,2.101445388609269594e-07
1.300000000000000044e-01,2.422419500273980319e-07
1.500000000000000222e-01,2.838679391382907828e-07
1.699999999999999845e-01,2.974075802130669793e-07
1.900000000000000022e-01,3.269957177507143735e-07
2.100000000000000200e-01,3.781486729663473663e-07
2.299999999999999822e-01,4.247868900633625928e-07
2.500000000000000000e-01,4.242815572005461360e-07
2.700000000000000178e-01,4.809481949021631871e-07
2.900000000000000355e-01,5.085257932066563990e-07
3.099999999999999978e-01,5.551596615273127287e-07
3.300000000000000155e-01,5.596665649814665635e-07
3.499999999999999778e-01,6.088053011218766701e-07
3.699999999999999956e-01,6.388859289558022722e-07
3.900000000000000133e-01,6.930360992214706883e-07
4.100000000000000311e-01,7.025536190582347327e-07
4.299999999999999933e-01,7.115691364441208158e-07
4.500000000000000111e-01,7.321169362157532378e-07
4.699999999999999734e-01,7.732223827957156112e-07
4.899999999999999911e-01,7.962747118704997424e-07
5.100000000000000089e-01,8.353711048249123409e-07
5.300000000000000266e-01,8.092814214519171418e-07
5.500000000000000444e-01,8.744474943492623498e-07
5.700000000000000622e-01,8.142620280766116798e-07
5.899999999999999689e-01,9.355794973886325259e-07
6.099999999999999867e-01,9.475915996521720190e-07
6.300000000000000044e-01,1.002217944188370377e-06
6.500000000000000222e-01,9.871536657888053635e-07
6.700000000000000400e-01,1.002671118590781549e-06
6.900000000000000577e-01,1.078345675238628768e-06
7.099999999999999645e-01,1.076813945171791922e-06
7.299999999999999822e-01,1.124909598614735541e-06
7.500000000000000000e-01,1.143927475449471045e-06
7.700000000000000178e-01,1.133368746365836436e-06
7.900000000000000355e-01,1.231080583592771160e-06
8.100000000000000533e-01,1.231044257259615044e-06
8.300000000000000711e-01,1.225994765781315852e-06
8.499999999999999778e-01,1.201397280936857963e-06
8.699999999999999956e-01,1.289067486438259798e-06
8.900000000000000133e-01,1.297545422496068113e-06
9.100000000000000311e-01,1.327070568677009645e-06
9.300000000000000488e-01,1.308984314046730958e-06
9.499999999999999556e-01,1.349029079506579752e-06
9.699999999999999734e-01,1.410115826240509794e-06
9.899999999999999911e-01,1.451154291388449385e-06
1.010000000000000009e+00,1.392475371385834230e-06
1.030000000000000027e+00,1.422986620130721887e-06
1.050000000000000044e+00,1.494079264347914944e-06
1.070000000000000062e+00,1.532598009373249545e-06
1.090000000000000080e+00,1.546564763997098723e-06
1.110000000000000098e+00,1.562032009892795597e-06
1.130000000000000115e+00,1.567477437442022262e-06
1.149999999999999911e+00,1.627523017796988166e-06
1.169999999999999929e+00,1.665522183862330447e-06
1.189999999999999947e+00,1.768130987704588606e-06
1.209999999999999964e+00,1.781576323285766468e-06
1.229999999999999982e+00,1.778490300219418342e-06
1.250000000000000000e+00,1.846519897494370241e-06
1.270000000000000018e+00,1.802865682366193257e-06
1.290000000000000036e+00,1.848348889631313929e-06
1.310000000000000053e+00,1.838746160836302328e-06
1.330000000000000071e+00,1.870202744516473369e-06
1.350000000000000089e+00,1.902655727124065792e-06
1.370000000000000107e+00,1.886036449254883863e-06
1.390000000000000124e+00,1.941011375572548532e-06
1.410000000000000142e+00,1.875830063077685838e-06
1.429999999999999938e+00,1.895254720649864379e-06
1.449999999999999956e+00,1.918179786662710802e-06
1.469999999999999973e+00,1.959621212100869471e-06
1.489999999999999991e+00,1.947001862469548832e-06
1.510000000000000009e+00,1.992938046075044746e-06
1.530000000000000027e+00,2.038366414876750433e-06
1.550000000000000044e+00,1.996714929500637265e-06
1.570000000000000062e+00,2.085171490942199728e-06
1.590000000000000080e+00,2.088051661822138493e-06
1.610000000000000098e+00,2.056906709678646860e-06
1.630000000000000115e+00,2.064288397061621249e-06
1.650000000000000133e+00,2.078170087526297441e-06
1.669999999999999929e+00,2.102554639835450073e-06
1.689999999999999947e+00,2.058405041903729552e-06
1.709999999999999964e+00,2.058775306025976895e-06
1.729999999999999982e+00,2.120163601801784487e-06
1.750000000000000000e+00,2.152034601218836833e-06
1.770000000000000018e+00,2.113387260838795883e-06
1.790000000000000036e+00,2.141750928675483208e-06
1.810000000000000053e+00,2.220111910085277516e-06
1.830000000000000071e+00,2.221463967083921144e-06
1.850000000000000089e+00,2.151818355956289262e-06
1.870000000000000107e+00,2.171165720704234010e-06
1.890000000000000124e+00,2.192009546798988438e-06
1.910000000000000142e+00,2.189856526685170080e-06
1.929999999999999938e+00,2.190700695421569280e-06
1.949999999999999956e+00,2.221031804855019366e-06
1.969999999999999973e+00,2.280838805190214682e-06
1.989999999999999991e+00,2.264181464340209042e-06
2.009999999999999787e+00,2.287996858942317997e-06
2.030000000000000249e+00,2.279331753248298202e-06
2.049999999999999822e+00,2.295147987682006747e-06
2.070000000000000284e+00,2.267996566422325297e-06
2.089999999999999858e+00,2.282307331793780158e-06
2.110000000000000320e+00,2.376033284776277562e-06
2.129999999999999893e+00,2.351873991651332841e-06
2.150000000000000355e+00,2.299249111760618543e-06
2.169999999999999929e+00,2.310551015791645704e-06
2.190000000000000391e+00,2.307869068967371328e-06
2.209999999999999964e+00,2.279720743784377844e-06
2.230000000000000426e+00,2.358413168007292170e-06
2.250000000000000000e+00,2.280840289337660126e-06
2.270000000000000462e+00,2.375489529990147618e-06
2.290000000000000036e+00,2.297427855272099329e-06
2.310000000000000053e+00,2.420501761382287024e-06
2.330000000000000071e+00,2.397339483778748198e-06
2.349999999999999645e+00,2.439045545796157401e-06
2.370000000000000107e+00,2.441826132852904996e-06
2.389999999999999680e+00,2.519940046955706433e-06
2.410000000000000142e+00,2.513230519224383464e-06
2.429999999999999716e+00,2.554904686395218102e-06
2.450000000000000178e+00,2.495320511129042115e-06
2.469999999999999751e+00,2.499083529219520657e-06
2.490000000000000213e+00,2.423553732747922315e-06
2.509999999999999787e+00,2.536519290842783036e-06
2.530000000000000249e+00,2.422105610423281301e-06
2.549999999999999822e+00,2.423373092673801336e-06
2.570000000000000284e+00,2.523339831715281854e-06
2.589999999999999858e+00,2.471758875551018009e-06
2.610000000000000320e+00,2.484479470761369918e-06
2.629999999999999893e+00,2.522111411341759537e-06
2.650000000000000355e+00,2.493461058815280979e-06
2.669999999999999929e+00,2.465812979386146156e-06
2.690000000000000391e+00,2.550760205881836004e-06
2.709999999999999964e+00,2.538550755136829613e-06
2.730000000000000426e+00,2.471548773601265671e-06
2.750000000000000000e+00,2.559452212666381244e-06
2.770000000000000462e+00,2.423737508536696470e-06
2.790000000000000036e+00,2.489216103558939568e-06
2.810000000000000053e+00,2.430207069592354873e-06
2.830000000000000071e+00,2.497659023902068002e-06
2.849999999999999645e+00,2.450602517623196456e-06
2.870000000000000107e+00,2.474733098839011751e-06
2.889999999999999680e+00,2.484423276418463108e-06
2.910000000000000142e+00,2.400553687057212172e-06
2.929999999999999716e+00,2.455525670523911247e-06
2.950000000000000178e+00,2.472172345320825770e-06
2.969999999999999751e+00,2.524633916501329301e-06
2.990000000000000213e+00,2.471627443832736195e-06
3.009999999999999787e+00,2.407195470199336804e-06
3.030000000000000249e+00,2.459142571680611135e-06
3.049999999999999822e+00,2.428534374578139890e-06
3.070000000000000284e+00,2.406382559845697915e-06
3.089999999999999858e+00,2.457810909123248878e-06
3.110000000000000320e+00,2.338230848487131189e-06
3.129999999999999893e+00,2.392631050854139079e-06
3.150000000000000355e+00,2.474847555334024724e-06
3.169999999999999929e+00,2.434310961427035032e-06
3.190000000000000391e+00,2.413652347561088925e-06
3.209999999999999964e+00,2.509742162690663181e-06
3.230000000000000426e+00,2.364896943296845273e-06
3.250000000000000000e+00,2.425702144430601975e-06
3.270000000000000462e+00,2.425407301712133012e-06
3.290000000000000036e+00,2.376451862780013695e-06
3.310000000000000497e+00,2.372686267018528433e-06
3.330000000000000071e+00,2.400689602864816746e-06
3.349999999999999645e+00,2.299633448322742601e-06
3.370000000000000107e+00,2.392152598615461277e-06
3.389999999999999680e+00,2.402771129120056207e-06
3.410000000000000142e+00,2.376667951147492515e-06
3.429999999999999716e+00,2.409607771457169625e-06
3.450000000000000178e+00,2.324471668853301068e-06
3.469999999999999751e+00,2.398573921428449117e-06
3.490000000000000213e+00,2.323878399315580326e-06
3.509999999999999787e+00,2.291842578555326971e-06
3.530000000000000249e+00,2.320794960571509869e-06
3.549999999999999822e+00,2.325444773746815714e-06
3.570000000000000284e+00,2.357852279183502610e-06
3.589999999999999858e+00,2.290139721141242623e-06
3.610000000000000320e+00,2.302716903957273443e-06
3.629999999999999893e+00,2.263266605998920655e-06
3.650000000000000355e+00,2.314979532297201564e-06
3.669999999999999929e+00,2.228972729193415983e-06
3.690000000000000391e+00,2.224212796263267224e-06
3.709999999999999964e+00,2.213506245770016222e-06
3.730000000000000426e+00,2.182503814297150097e-06
3.750000000000000000e+00,2.268834254749960583e-06
3.770000000000000462e+00,2.194769259853064792e-06
3.790000000000000036e+00,2.270182082343495893e-06
3.810000000000000497e+00,2.188707005396085951e-06
3.830000000000000071e+00,2.194332921215103796e-06
3.849999999999999645e+00,2.196989316876353510e-06
3.870000000000000107e+00,2.101212454502771190e-06
3.889999999999999680e+00,2.129593345984642989e-06
