theta_deg,rate_Hz_per_0.02deg_bin
1.000000000000000021e-02,3.356784051275144938e-08
2.999999999999999889e-02,9.186981396574109239e-08
5.000000000000000278e-02,1.272041674639789222e-07
7.000000000000000666e-02,1.884501861545657613e-07
8.999999999999999667e-02,2.214283373664698047e-07
1.100000000000000006e-01,2.467503228206609067e-07
1.300000000000000044e-01,2.844388819651796855e-07
1.500000000000000222e-01,3.333158297693494713e-07
1.699999999999999845e-01,3.492139723589418023e-07
1.900000000000000022e-01,3.839561474153613506e-07
2.100000000000000200e-01,4.440195785999905267e-07
2.299999999999999822e-01,4.987818275064857135e-07
2.500000000000000000e-01,4.981884410626539143e-07
2.700000000000000178e-01,5.647259767646821438e-07
2.900000000000000355e-01,5.971073588174219223e-07
3.099999999999999978e-01,6.518644683895631811e-07
3.300000000000000155e-01,6.571563924938466029e-07
3.499999999999999778e-01,7.148546804281400642e-07
3.699999999999999956e-01,7.501750676314150036e-07
3.900000000000000133e-01,8.137577189032917998e-07
4.100000000000000311e-01,8.249330408099116543e-07
4.299999999999999933e-01,8.355189093391911339e-07
4.500000000000000111e-01,8.596458860977247360e-07
4.699999999999999734e-01,9.079114765527558498e-07
4.899999999999999911e-01,9.349792297128315693e-07
5.100000000000000089e-01,9.808857781283738533e-07
5.300000000000000266e-01,9.502513735934407391e-07
5.500000000000000444e-01,1.026768692802710249e-06
5.700000000000000622e-01,9.560993124974657164e-07
5.899999999999999689e-01,1.098549068356402725e-06
6.099999999999999867e-01,1.112653414419209679e-06
6.300000000000000044e-01,1.176794998562465204e-06
6.500000000000000222e-01,1.159106488529054317e-06
6.700000000000000400e-01,1.177326752128584040e-06
6.900000000000000577e-01,1.266182884020605988e-06
7.099999999999999645e-01,1.264384133690912130e-06
7.299999999999999822e-01,1.320857344103176009e-06
7.500000000000000000e-01,1.343187707012641007e-06
7.700000000000000178e-01,1.330789519846466940e-06
7.900000000000000355e-01,1.445521454281406232e-06
8.100000000000000533e-01,1.445478528594223898e-06
8.300000000000000711e-01,1.439549194290233388e-06
8.499999999999999778e-01,1.410666827240655768e-06
8.699999999999999956e-01,1.513607865278561869e-06
8.900000000000000133e-01,1.523562242962369558e-06
9.100000000000000311e-01,1.558229985307076121e-06
9.300000000000000488e-01,1.536992994706862609e-06
9.499999999999999556e-01,1.584012707151564932e-06
9.699999999999999734e-01,1.655739611124452745e-06
9.899999999999999911e-01,1.703926049292129434e-06
1.010000000000000009e+00,1.635025658469563854e-06
1.030000000000000027e+00,1.670851151687311653e-06
1.050000000000000044e+00,1.754326719744435998e-06
1.070000000000000062e+00,1.799554436629138581e-06
1.090000000000000080e+00,1.815953537276788104e-06
1.110000000000000098e+00,1.834114475257272742e-06
1.130000000000000115e+00,1.840507929981753392e-06
1.149999999999999911e+00,1.911012016234018651e-06
1.169999999999999929e+00,1.955629508375978296e-06
1.189999999999999947e+00,2.076110549013181057e-06
1.209999999999999964e+00,2.091897252796745894e-06
1.229999999999999982e+00,2.088273097285571767e-06
1.250000000000000000e+00,2.168151663009052605e-06
1.270000000000000018e+00,2.116893013428421611e-06
1.290000000000000036e+00,2.170297938627894231e-06
1.310000000000000053e+00,2.159021928142668643e-06
1.330000000000000071e+00,2.195956989140918715e-06
1.350000000000000089e+00,2.234061969299842812e-06
1.370000000000000107e+00,2.214547223380443603e-06
1.390000000000000124e+00,2.279096970917946268e-06
1.410000000000000142e+00,2.202561645018793950e-06
1.429999999999999938e+00,2.225368941786357646e-06
1.449999999999999956e+00,2.252286318658965101e-06
1.469999999999999973e+00,2.300945178525308710e-06
1.489999999999999991e+00,2.286127013964449146e-06
1.510000000000000009e+00,2.340063451559080209e-06
1.530000000000000027e+00,2.393403575266215020e-06
1.550000000000000044e+00,2.344496498229478972e-06
1.570000000000000062e+00,2.448359249757283047e-06
1.590000000000000080e+00,2.451740168352088921e-06
1.610000000000000098e+00,2.415169604735315270e-06
1.630000000000000115e+00,2.423836079076573150e-06
1.650000000000000133e+00,2.440134674352828968e-06
1.669999999999999929e+00,2.468765435040049472e-06
1.689999999999999947e+00,2.416925161643285736e-06
1.709999999999999964e+00,2.417358950437037970e-06
1.729999999999999982e+00,2.489438440828486249e-06
1.750000000000000000e+00,2.526859468462057147e-06
1.770000000000000018e+00,2.481479804780481873e-06
1.790000000000000036e+00,2.514782572966929120e-06
1.810000000000000053e+00,2.606790689515762778e-06
1.830000000000000071e+00,2.608377119951403069e-06
1.850000000000000089e+00,2.526600216092648909e-06
1.870000000000000107e+00,2.549316194087591649e-06
1.890000000000000124e+00,2.573789238373339468e-06
1.910000000000000142e+00,2.571260081360730778e-06
1.929999999999999938e+00,2.572250117034869086e-06
1.949999999999999956e+00,2.607862738891801801e-06
1.969999999999999973e+00,2.678084924779159963e-06
1.989999999999999991e+00,2.658525193300271330e-06
2.009999999999999787e+00,2.686487160541887672e-06
2.030000000000000249e+00,2.676311621351964443e-06
2.049999999999999822e+00,2.694881198813162647e-06
2.070000000000000284e+00,2.662999675869356867e-06
2.089999999999999858e+00,2.679801550060444336e-06
2.110000000000000320e+00,2.789849749345726556e-06
2.129999999999999893e+00,2.761481431899520434e-06
2.150000000000000355e+00,2.699689932005279630e-06
2.169999999999999929e+00,2.712958816318365600e-06
2.190000000000000391e+00,2.709808390906151214e-06
2.209999999999999964e+00,2.676756359318759379e-06
2.230000000000000426e+00,2.769152392618195336e-06
2.250000000000000000e+00,2.678068077959746732e-06
2.270000000000000462e+00,2.789199809841455616e-06
