Polarfire,HGCROC,Channel,CMB,Quadbar,Bar,Plane,Cable
0,0,0,1,1,1,1,011
0,0,1,1,1,2,1,011
0,0,2,1,1,3,1,011
0,0,3,1,1,4,1,011
0,0,4,2,1,1,1,012
0,0,5,2,1,2,1,012
0,0,6,2,1,3,1,012
0,0,7,2,1,4,1,012
0,0,9,3,2,1,1,013
0,0,10,3,2,2,1,013
0,0,11,3,2,3,1,013
0,0,12,3,2,4,1,013
0,0,13,4,2,1,1,014
0,0,14,4,2,2,1,014
0,0,15,4,2,3,1,014
0,0,16,4,2,4,1,014
0,0,18,5,1,4,2,021
0,0,19,5,1,3,2,021
0,0,20,5,1,2,2,021
0,0,21,5,1,1,2,021
0,0,22,6,1,4,2,022
0,0,23,6,1,3,2,022
0,0,24,6,1,2,2,022
0,0,25,6,1,1,2,022
0,0,27,7,2,4,2,023
0,0,28,7,2,3,2,023
0,0,29,7,2,2,2,023
0,0,30,7,2,1,2,023
0,0,31,8,2,4,2,024
0,0,32,8,2,3,2,024
0,0,33,8,2,2,2,024
0,0,34,8,2,1,2,024
0,0,36,9,1,1,3,031
0,0,37,9,1,2,3,031
0,0,38,9,1,3,3,031
0,0,39,9,1,4,3,031
0,0,40,10,1,1,3,032
0,0,41,10,1,2,3,032
0,0,42,10,1,3,3,032
0,0,43,10,1,4,3,032
0,0,45,11,2,1,3,033
0,0,46,11,2,2,3,033
0,0,47,11,2,3,3,033
0,0,48,11,2,4,3,033
0,0,49,12,2,1,3,034
0,0,50,12,2,2,3,034
0,0,51,12,2,3,3,034
0,0,52,12,2,4,3,034
0,0,54,13,1,1,4,041
0,0,55,13,1,2,4,041
0,0,56,13,1,3,4,041
0,0,57,13,1,4,4,041
0,0,58,14,1,1,4,042
0,0,59,14,1,2,4,042
0,0,60,14,1,3,4,042
0,0,61,14,1,4,4,042
0,0,63,15,2,1,4,043
0,0,64,15,2,2,4,043
0,0,65,15,2,3,4,043
0,0,66,16,2,4,4,043
0,0,67,16,2,1,4,044
0,0,68,16,2,2,4,044
0,0,69,16,2,3,4,044
0,0,70,16,2,4,4,044
0,1,0,1,1,1,5,051
0,1,1,1,1,2,5,051
0,1,2,1,1,3,5,051
0,1,3,1,1,4,5,051
0,1,4,2,1,1,5,052
0,1,5,2,1,2,5,052
0,1,6,2,1,3,5,052
0,1,7,2,1,4,5,052
0,1,9,3,2,1,5,053
0,1,10,3,2,2,5,053
0,1,11,3,2,3,5,053
0,1,12,3,2,4,5,053
0,1,13,4,2,1,5,054
0,1,14,4,2,2,5,054
0,1,15,4,2,3,5,054
0,1,16,4,2,4,5,054
0,1,18,5,1,1,6,061
0,1,19,5,1,2,6,061
0,1,20,5,1,3,6,061
0,1,21,5,1,4,6,061
0,1,22,6,1,1,6,062
0,1,23,6,1,2,6,062
0,1,24,6,1,3,6,062
0,1,25,6,1,4,6,062
0,1,27,7,2,1,6,063
0,1,28,7,2,2,6,063
0,1,29,7,2,3,6,063
0,1,30,7,2,4,6,063
0,1,31,8,2,1,6,064
0,1,32,8,2,2,6,064
0,1,33,8,2,3,6,064
0,1,34,8,2,4,6,064
0,1,36,9,1,1,7,071
0,1,37,9,1,2,7,071
0,1,38,9,1,3,7,071
0,1,39,9,1,4,7,071
0,1,40,10,1,1,7,072
0,1,41,10,1,2,7,072
0,1,42,10,1,3,7,072
0,1,43,10,1,4,7,072
0,1,45,11,2,1,7,073
0,1,46,11,2,2,7,073
0,1,47,11,2,3,7,073
0,1,48,11,2,4,7,073
0,1,49,12,2,1,7,074
0,1,50,12,2,2,7,074
0,1,51,12,2,3,7,074
0,1,52,12,2,4,7,074
0,1,54,13,1,1,8,081
0,1,55,13,1,2,8,081
0,1,56,13,1,3,8,081
0,1,57,13,1,4,8,081
0,1,58,14,1,1,8,082
0,1,59,14,1,2,8,082
0,1,60,14,1,3,8,082
0,1,61,14,1,4,8,082
0,1,63,15,2,1,8,083
0,1,64,15,2,2,8,083
0,1,65,15,2,3,8,083
0,1,66,16,2,4,8,083
0,1,67,16,2,1,8,084
0,1,68,16,2,2,8,084
0,1,69,16,2,3,8,084
0,1,70,16,2,4,8,084
0,2,0,1,1,1,9,091
0,2,1,1,1,2,9,091
0,2,2,1,1,3,9,091
0,2,3,1,1,4,9,091
0,2,4,2,1,1,9,092
0,2,5,2,1,2,9,092
0,2,6,2,1,3,9,092
0,2,7,2,1,4,9,092
0,2,9,3,2,1,9,093
0,2,10,3,2,2,9,093
0,2,11,3,2,3,9,093
0,2,12,3,2,4,9,093
0,2,13,4,2,1,9,094
0,2,14,4,2,2,9,094
0,2,15,4,2,3,9,094
